0,1,2,3,4
m,förekommit,sociala,föremål,myndigheten
ex,dagarna,nätet,massmedium,beteenden
radio,framkommit,facebook,uppmärksamheten,ang
t,senaste,internet,medium,trossamfund
pressen,frågat,tryckta,intresse,utgiftsområde
möter,refererats,teknik,massmedial,lättläst
kampanj,rapporterats,twitter,bevakning,tillgängliga
folkrörelser,hösten,bloggar,tycks,tillgänglighet
böcker,veckorna,konsumerar,rönt,förutsättningar
utredningar,enligt,alternativa,medial,mänskliga
press,uppgifter,typer,genomslagskraft,oberoende
television,arbetsmarknadsministern,ordet,beskrivning,funktioner
allmänheten,redovisats,elektroniska,massmediala,tillgängligheten
sysslar,statsrådet,it,ägnar,miljö
redovisar,nyligen,hon,uppmärksamhet,val
lärare,bakgrund,lokala,tryck,public
förmedlar,månaderna,digitala,viktigare,människors
liknande,kommunikationsministern,läser,rapportering,service
tv,fostran,sex,massmedialt,domstolar
tidskrifter,kunnat,plattformar,mediets,fritid
