0,1,2,3,4,5,6,7,8,9
sortera,hillevi,evenemanget,arbetsmarknadskommissionen,angripas,mannerskantz,antimilitaristiska,kunskapssatsning,regeringsärenden,sil
utvecklingssamtalen,tråkigt,antonov,förelågo,nedbringa,ekman,reaktionära,cybersäkerhet,föredragas,ungdomsråd
resenären,trevligt,gm,erhöllo,narkotikans,jordbruksdepartementet,revolutionära,erfarenhetsutbyte,konungen,energisparområdet
tydliggöra,osäker,förvärvet,framkommo,prispolitik,tacka,försvarsfientliga,teknikupphandling,regeringsformens,utvecklingstendenser
kreditgivaren,facken,skickades,införskaffat,motverkas,holmberg,antimilitära,konton,kap,anvisats
skolval,signal,drabbat,införskaffade,ägnas,rosén,samhällsomstörtande,strategier,tillförsäkras,milj
produkten,uppmana,journalist,gingo,alkoholproblemen,tackar,motarbetande,cybersäkerheten,behövliga,miljkr
förstöras,marianne,utfrågningen,funnos,tobaksbruk,aspling,sedligt,föräldraförsäkringens,upplysningars,mellanfolkligt
efterforska,green,hultqvist,bankoutskottet,attityden,senander,bolsjevikiska,strandskyddsreglerna,yttranden,förelagts
minimeras,invandrarministern,riksgälden,arbetslöshetskommissionen,genomslagskraft,talarens,statsfientliga,tillgängliggöra,regeringsformen,tillsatts
överklaga,eva,irak,vederbörligt,alkoholen,hedlund,antireligiösa,arbetsmiljöverkets,hemvist,nedrustningssträvanden
eleven,pär,arboga,grundade,alkoholkonsumtionen,ber,socialistiska,kommunikationsteknik,persons,innefattande
orätta,livsmedelsverkets,lundgren,voro,instrumentet,vice,stävjande,metodutveckling,införskaffande,kr
operatörer,torstensson,maud,järnvägsstyrelsen,narkotikan,bengtson,arbetarrörelsen,teknologi,hörande,res
samordningsnummer,elisabeth,öb,generalpoststyrelsen,mellanölets,glömde,nedbrytande,databas,målsägande,skolledare
drivmedel,westerholm,olofsson,tillstyrka,individerna,tacksam,demokratiens,kunskapsöverföring,tillhandagå,narkotikafrågan
tillverkare,invänta,granskat,tillhanda,skolning,lundqvist,våldsamma,reproduktiv,medbestämmanderätt,orring
dator,åsa,danielsson,kontrollstyrelsen,sjunkit,be,nazistiska,upphandling,beredas,frågestund
utvecklingssamtalet,jordbruksminister,mejl,industrikommissionen,tobak,ecklesiastikdepartementet,antisemitiska,gränsöverskridande,inhämtas,miljon
elevers,klagat,washington,sakkunnigt,förblir,lindhagen,preventivlagen,handlingsplaner,biträde,disponerar
