0,1,2,3,4
spred,spred,utskottsavdelningen,spred,spörsmål
publicerade,publicerade,spörsmål,publicerade,spred
leder,konferenser,ordet,spörsmål,rapportera
kunde,ordet,bostadstilläggen,ekonomi,publicerade
stödjas,känner,klarhet,sanktioner,skolhälsovården
spörsmål,spörsmål,spelberoende,leder,klarhet
effektivaste,skolhälsovården,förmågan,känner,ordet
rättvis,johan,konferenser,duktiga,utskottsavdelningen
fråga,spelberoende,skolhälsovården,televisionen,leder
informationsflödet,utmärkt,tidiga,utskottsavdelningen,duktiga
wennerströms,erfarenheten,leder,ovanligt,noggrann
utskottsavdelningen,förmågan,spred,kapital,kunde
präglas,utskottsavdelningen,garantera,jämväl,utvecklingsarbete
krafter,personalgrupper,narkotikamissbruk,transportstyrelsen,tacka
noggrann,leder,underhållning,därstädes,tillgodogöra
brast,noggrann,miljöpartiets,knappa,spelberoende
erfarenheten,nordiska,diskuterade,hänvisad,präglas
motsätter,avses,världskriget,johan,ovanligt
läst,världskriget,behandling,kamp,därstädes
duktiga,tidiga,fullkomligt,tillgodogöra,uppger
