,0,1,2,3,4,5,6,7,8,9
1920-1929,0.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111
1930-1939,0.6,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0
1940-1949,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950-1959,0.333,0.111,0.111,0.111,0.111,0.0,0.0,0.0,0.111,0.111
1960-1969,0.202,0.087,0.007,0.134,0.203,0.008,0.085,0.075,0.193,0.006
1970-1979,0.16,0.079,0.008,0.222,0.176,0.013,0.142,0.106,0.088,0.007
1980-1989,0.157,0.101,0.022,0.215,0.132,0.018,0.163,0.11,0.057,0.024
1990-1999,0.171,0.184,0.102,0.128,0.094,0.082,0.072,0.077,0.03,0.059
2000-2009,0.148,0.228,0.238,0.049,0.027,0.186,0.008,0.025,0.005,0.087
2010-2019,0.098,0.157,0.354,0.03,0.008,0.234,0.002,0.035,0.002,0.079
2020-2029,0.075,0.209,0.373,0.015,0.0,0.254,0.0,0.045,0.03,0.0
