0,1,2,3,4
avskaffa,föranledd,åligger,tf,världens
allas,unescos,tittare,demokratiska,extremt
underligt,halvt,samhällsfrågor,drivas,judar
fort,bildt,informationsverksamhet,välfungerande,statskontrollerade
reagera,carl,påträngande,sekretess,rasismen
dörren,försvarsministern,tillåtna,rättsstat,samhällen
förbjuda,öb,hemmen,meddelarfrihet,samlade
publikt,bilen,norrköping,fritt,skadas
fungerat,handläggning,alkoholen,skolbibliotek,utmaning
ljus,påtagligt,bestå,föreningsfrihet,fiendebilder
sanning,rutiner,genomslagskraften,skolbiblioteken,våldsskildringar
beskrivningen,redovisningar,ungdomen,reklamskatt,youtube
noterade,erfarit,produkt,villkoren,lever
definitivt,eva,tystnadsplikt,mediemarknad,sjukvården
angelägenhet,hjelmström,ängslan,mötesfrihet,spred
läckt,granskat,tränger,biblioteket,medievanor
klockan,frågeställning,normer,fritid,skåne
fokusering,statssekreterare,fantasi,professionell,generell
undra,klarläggande,kräva,journalistik,far
skjuta,suttit,programverksamheten,regleras,reportrar
