doc,w,target,pos,year,mop_id,file_path
0,så fall enligt uppgifter i massmedia föreligger planer att,massmedia,5,1979,alexander_chrisopoulos_55fd45,../riksdagen-corpus/corpus/197980/prot-197980--11.xml
1,det arbetet kunna använda olika massmedia framför allt tv är ett,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--39.xml
2,allt tv är ett medium just i detta sammanhang eftersom,medium,4,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--39.xml
3,när det gäller att i massmedia beskriva sveriges ekonomiska och,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--38.xml
4,senaste månaderna har i massmedia där han har talat om,massmedia,4,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--38.xml
5,och ett uttalat intresse från massmedias sida i denna som,massmedias,5,1979,lilly_hansson_1b3f79,../riksdagen-corpus/corpus/197980/prot-197980--158.xml
6,enskilda företag utifrån uppgifter i massmedia företaget måste få en,massmedia,5,1979,lilly_hansson_1b3f79,../riksdagen-corpus/corpus/197980/prot-197980--158.xml
7,innebär problem för många massmedia har följt små,massmedia,4,1979,per_westerberg_336474,../riksdagen-corpus/corpus/197980/prot-197980--164.xml
8,finns inte visserligen har massmedia oss om den ena,massmedia,4,1979,johan_a_olsson_ddb90e,../riksdagen-corpus/corpus/197980/prot-197980--164.xml
9,en tid cirkulerat i olika media därigenom har den allmänna debatten,media,5,1979,sven_munke_8b173c,../riksdagen-corpus/corpus/197980/prot-197980--164.xml
10,sina frågor bla uppgifter i massmedia om s k,massmedia,5,1979,olof_palme_3e06b6,../riksdagen-corpus/corpus/197980/prot-197980--167.xml
11,pågår en livlig diskussion i massmedia och i olika om,massmedia,5,1979,filip_johansson_6b5811,../riksdagen-corpus/corpus/197980/prot-197980--163.xml
12,som de massmedia utgör det som verkligen,massmedia,2,1979,lars_werner_277fe8,../riksdagen-corpus/corpus/197980/prot-197980--17.xml
13,problem vi har nyligen genom massmedia blivit om hur ofta,massmedia,5,1979,olof_johansson_minister_1979,../riksdagen-corpus/corpus/197980/prot-197980--17.xml
14,tas tillbaka uppgifter i massmedia tyder på att möjligheten att,massmedia,4,1979,olof_johansson_minister_1979,../riksdagen-corpus/corpus/197980/prot-197980--17.xml
15,utan också i press och massmedia just om de här frågorna,massmedia,5,1979,ingvar_svanberg_9b9ead,../riksdagen-corpus/corpus/197980/prot-197980--162.xml
16,måste få av massmedia och nå ut och diskuteras,massmedia,3,1979,marie-ann_johansson_50d66a,../riksdagen-corpus/corpus/197980/prot-197980--148.xml
17,som men ändå speglar massmedia själva ofta ett,massmedia,4,1979,marie-ann_johansson_50d66a,../riksdagen-corpus/corpus/197980/prot-197980--148.xml
18,sällan en massmedia har en viktig uppgift att,massmedia,2,1979,marie-ann_johansson_50d66a,../riksdagen-corpus/corpus/197980/prot-197980--148.xml
19,att de för massmedia är speciellt på det,massmedia,3,1979,marie-ann_johansson_50d66a,../riksdagen-corpus/corpus/197980/prot-197980--148.xml
20,på en i massmedia framför allt i den största,massmedia,3,1979,inga_lantz_295cb8,../riksdagen-corpus/corpus/197980/prot-197980--160.xml
21,för dagen kommer fram i massmedia då tycker jag inte man,massmedia,5,1979,goran_karlsson_2a26b0,../riksdagen-corpus/corpus/197980/prot-197980--160.xml
22,trots detta utvecklas i massmedia en kritik som helt saknar,massmedia,4,1979,inga_lantz_295cb8,../riksdagen-corpus/corpus/197980/prot-197980--160.xml
23,något annan bild än den massmedia ger i massmedia man,massmedia,5,1979,inga_lantz_295cb8,../riksdagen-corpus/corpus/197980/prot-197980--160.xml
24,än den massmedia ger i massmedia man men,massmedia,5,1979,inga_lantz_295cb8,../riksdagen-corpus/corpus/197980/prot-197980--160.xml
25,en del uppgifter i massmedia och jag har tidigare frågat,massmedia,4,1979,ingegerd_troedsson_1_vice_talman,../riksdagen-corpus/corpus/197980/prot-197980--160.xml
26,i tidningar och andra massmedia har man lätt kunnat få,massmedia,4,1979,olle_goransson_6e1f4a,../riksdagen-corpus/corpus/197980/prot-197980--160.xml
27,speciellt den senaste i massmedia om av barn har,massmedia,4,1979,olle_goransson_6e1f4a,../riksdagen-corpus/corpus/197980/prot-197980--160.xml
28,riksdagen i offentlighet under massmediernas bevakning och under en ganska,massmediernas,4,1979,daniel_tarschys_c48a0f,../riksdagen-corpus/corpus/197980/prot-197980--28.xml
29,att beslutet sker offentligt att massmedia kan följa debatten och att,massmedia,5,1979,hilding_johansson_cfcb37,../riksdagen-corpus/corpus/197980/prot-197980--28.xml
30,minst det stora intresset från massmedias sida ett offentligt besked,massmedias,5,1979,karin_andersson_minister_1979,../riksdagen-corpus/corpus/197980/prot-197980--28.xml
31,och inte något för massmedia och medborgare det blir t,massmedia,4,1979,ing-marie_hansson_797c12,../riksdagen-corpus/corpus/197980/prot-197980--161.xml
32,och det nya medier ser man inte på,medier,3,1979,ing-marie_hansson_797c12,../riksdagen-corpus/corpus/197980/prot-197980--161.xml
33,vilket framgått inte minst av massmedia bla har liv beskrivits,massmedia,5,1979,borje_nilsson_c4e38d,../riksdagen-corpus/corpus/197980/prot-197980--112.xml
34,bakgrunden till vissa uppgifter i massmedia nyligen om för det,massmedia,5,1979,kerstin_ekman_3337b6,../riksdagen-corpus/corpus/197980/prot-197980--99.xml
35,om som förekommit i massmedia sig mellan,massmedia,4,1979,kerstin_ekman_3337b6,../riksdagen-corpus/corpus/197980/prot-197980--99.xml
36,i centrum för debatten i massmedia och bland allmänheten bör,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--72.xml
37,sammanhang mot massmedia har på senare tid alltmer,massmedia,2,1979,inga_lantz_295cb8,../riksdagen-corpus/corpus/197980/prot-197980--66.xml
38,följer referat av i massmedia man sig över,massmedia,4,1979,wiggo_komstedt_728053,../riksdagen-corpus/corpus/197980/prot-197980--66.xml
39,synpunkt sätt i massmedia bakgrunden är emellertid en,massmedia,3,1979,wiggo_komstedt_728053,../riksdagen-corpus/corpus/197980/prot-197980--66.xml
40,man ta del av i massmedia varje dag vill lägga,massmedia,5,1979,lars_werner_015741,../riksdagen-corpus/corpus/197980/prot-197980--73.xml
41,man själv inte tillhör som massmedia för sysslar med,massmedia,5,1979,kjell-olof_feldt_0b7dd7,../riksdagen-corpus/corpus/197980/prot-197980--73.xml
42,som en del politiker och massmedia ibland för då man talar,massmedia,5,1979,kjell-olof_feldt_0b7dd7,../riksdagen-corpus/corpus/197980/prot-197980--73.xml
43,detta besked från industriministern via massmedia och då i,massmedia,5,1979,karl_erik_eriksson_3_vice_talman,../riksdagen-corpus/corpus/197980/prot-197980--98.xml
44,egna resurser på och massmedias områden kommer att ta tid,massmedias,4,1979,ingrid_sundberg_d9fd02,../riksdagen-corpus/corpus/197980/prot-197980--113.xml
45,och angående massmedia och massmedias ställning debatten började,massmedia,2,1979,eva_hjelmstrom_9fb416,../riksdagen-corpus/corpus/197980/prot-197980--113.xml
