,0,1,2,3,4,5,6,7,8,9
1920-1929,0.062,0.041,0.1,0.291,0.155,0.056,0.052,0.066,0.029,0.148
1930-1939,0.077,0.048,0.217,0.204,0.126,0.047,0.061,0.066,0.033,0.121
1940-1949,0.064,0.051,0.181,0.202,0.126,0.056,0.062,0.08,0.048,0.129
1950-1959,0.082,0.054,0.145,0.161,0.136,0.07,0.072,0.087,0.052,0.141
1960-1969,0.123,0.072,0.112,0.125,0.115,0.079,0.084,0.092,0.075,0.122
1970-1979,0.151,0.099,0.089,0.084,0.097,0.099,0.099,0.096,0.09,0.096
1980-1989,0.139,0.123,0.072,0.063,0.079,0.117,0.111,0.104,0.11,0.081
1990-1999,0.112,0.141,0.061,0.047,0.073,0.129,0.122,0.111,0.121,0.082
2000-2009,0.102,0.165,0.054,0.038,0.058,0.135,0.106,0.11,0.163,0.07
2010-2019,0.073,0.174,0.052,0.035,0.048,0.126,0.129,0.109,0.187,0.067
2020-2029,0.028,0.232,0.077,0.055,0.155,0.177,0.028,0.028,0.188,0.033
Total,0.113,0.103,0.097,0.101,0.097,0.099,0.095,0.097,0.097,0.102
