,0,1,2,3,4,5,6,7,8,9
1920-1929,0.06,0.139,0.053,0.165,0.137,0.039,0.058,0.259,0.051,0.041
1930-1939,0.064,0.133,0.055,0.157,0.182,0.04,0.057,0.211,0.057,0.046
1940-1949,0.074,0.13,0.058,0.142,0.177,0.045,0.063,0.198,0.063,0.05
1950-1959,0.09,0.14,0.07,0.139,0.153,0.051,0.068,0.154,0.083,0.053
1960-1969,0.089,0.12,0.084,0.119,0.117,0.076,0.082,0.117,0.125,0.071
1970-1979,0.102,0.094,0.103,0.099,0.086,0.095,0.101,0.083,0.14,0.097
1980-1989,0.109,0.085,0.119,0.081,0.078,0.107,0.111,0.064,0.132,0.115
1990-1999,0.114,0.079,0.141,0.08,0.059,0.122,0.115,0.046,0.106,0.138
2000-2009,0.114,0.075,0.148,0.062,0.051,0.145,0.101,0.04,0.093,0.17
2010-2019,0.112,0.068,0.136,0.05,0.054,0.172,0.111,0.038,0.078,0.179
2020-2029,0.095,0.044,0.11,0.055,0.049,0.229,0.113,0.04,0.062,0.203
Total,0.093,0.101,0.098,0.105,0.104,0.102,0.089,0.114,0.09,0.106
