,0,1,2,3,4,5,6,7,8,9
1920-1929,0.004,0.159,0.003,0.209,0.189,0.003,0.004,0.379,0.046,0.004
1930-1939,0.005,0.144,0.002,0.179,0.319,0.003,0.003,0.305,0.039,0.001
1940-1949,0.025,0.111,0.013,0.141,0.321,0.009,0.014,0.317,0.04,0.008
1950-1959,0.032,0.139,0.011,0.155,0.294,0.017,0.013,0.269,0.061,0.011
1960-1969,0.063,0.097,0.048,0.118,0.179,0.06,0.052,0.211,0.111,0.061
1970-1979,0.099,0.045,0.111,0.062,0.085,0.119,0.107,0.112,0.142,0.118
1980-1989,0.106,0.029,0.139,0.04,0.064,0.146,0.125,0.069,0.138,0.144
1990-1999,0.111,0.019,0.159,0.03,0.032,0.168,0.152,0.033,0.117,0.179
2000-2009,0.109,0.017,0.172,0.016,0.02,0.2,0.133,0.021,0.107,0.206
2010-2019,0.106,0.007,0.157,0.013,0.027,0.242,0.131,0.012,0.09,0.214
2020-2029,0.109,0.0,0.125,0.031,0.0,0.281,0.141,0.016,0.062,0.234
Total,0.07,0.07,0.085,0.09,0.139,0.113,0.08,0.158,0.087,0.107
