,0,1,2,3,4,5,6,7,8,9
1920-1929,0.129,0.0,0.113,0.0,0.0,0.145,0.177,0.242,0.048,0.145
1930-1939,0.177,0.021,0.052,0.0,0.01,0.125,0.104,0.448,0.042,0.021
1940-1949,0.202,0.011,0.104,0.0,0.002,0.078,0.117,0.371,0.052,0.063
1950-1959,0.205,0.012,0.07,0.002,0.0,0.108,0.085,0.357,0.089,0.073
1960-1969,0.156,0.005,0.117,0.006,0.0,0.147,0.127,0.142,0.148,0.15
1970-1979,0.139,0.003,0.157,0.003,0.0,0.169,0.151,0.047,0.164,0.167
1980-1989,0.132,0.002,0.174,0.002,0.0,0.183,0.156,0.021,0.149,0.181
1990-1999,0.125,0.0,0.18,0.002,0.0,0.19,0.172,0.008,0.118,0.203
2000-2009,0.117,0.0,0.186,0.003,0.0,0.216,0.144,0.003,0.109,0.222
2010-2019,0.112,0.001,0.167,0.002,0.0,0.257,0.14,0.002,0.092,0.228
2020-2029,0.115,0.0,0.131,0.0,0.0,0.295,0.148,0.0,0.066,0.246
Total,0.146,0.005,0.132,0.002,0.001,0.174,0.138,0.149,0.098,0.155
