,0,1,2,3,4,5,6,7,8,9
1920-1929,,,,,,,,,,
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,,,,,,,,,,
1960-1969,0.078,0.281,0.094,0.0,0.141,0.141,0.125,0.031,0.109,0.0
1970-1979,0.054,0.15,0.198,0.0,0.177,0.153,0.149,0.002,0.117,0.0
1980-1989,0.031,0.184,0.206,0.001,0.142,0.164,0.155,0.003,0.113,0.001
1990-1999,0.009,0.198,0.198,0.0,0.173,0.12,0.174,0.003,0.124,0.001
2000-2009,0.004,0.227,0.207,0.0,0.183,0.103,0.159,0.003,0.113,0.001
2010-2019,0.002,0.254,0.219,0.0,0.164,0.098,0.149,0.001,0.11,0.002
2020-2029,0.0,0.333,0.333,0.0,0.111,0.0,0.222,0.0,0.0,0.0
Total,0.025,0.233,0.208,0.0,0.156,0.111,0.162,0.006,0.098,0.001
