,0,1,2,3,4,5,6,7,8,9
1920-1929,0.004,0.163,0.008,0.197,0.072,0.004,0.011,0.481,0.053,0.008
1930-1939,0.0,0.104,0.007,0.167,0.326,0.014,0.0,0.312,0.069,0.0
1940-1949,0.029,0.091,0.015,0.121,0.292,0.018,0.025,0.347,0.045,0.017
1950-1959,0.033,0.136,0.011,0.153,0.255,0.018,0.015,0.311,0.061,0.008
1960-1969,0.064,0.089,0.051,0.116,0.155,0.06,0.058,0.222,0.114,0.07
1970-1979,0.093,0.04,0.098,0.064,0.081,0.123,0.111,0.114,0.149,0.127
1980-1989,0.103,0.024,0.145,0.05,0.028,0.151,0.132,0.059,0.147,0.163
1990-1999,0.114,0.02,0.143,0.033,0.023,0.169,0.149,0.032,0.134,0.183
2000-2009,0.097,0.012,0.155,0.012,0.02,0.245,0.126,0.014,0.112,0.209
2010-2019,0.126,0.012,0.132,0.016,0.029,0.241,0.15,0.006,0.086,0.202
2020-2029,0.0,0.0,0.222,0.222,0.0,0.222,0.111,0.111,0.0,0.111
Total,0.06,0.063,0.09,0.105,0.116,0.115,0.081,0.183,0.088,0.1
