,0,1,2,3,4,5,6,7,8,9
1920-1929,0.481,0.008,0.004,0.072,0.008,0.053,0.011,0.197,0.004,0.163
1930-1939,0.312,0.0,0.014,0.326,0.007,0.069,0.0,0.167,0.0,0.104
1940-1949,0.347,0.017,0.018,0.292,0.015,0.045,0.025,0.121,0.029,0.091
1950-1959,0.311,0.008,0.018,0.255,0.011,0.061,0.015,0.153,0.033,0.136
1960-1969,0.222,0.07,0.06,0.155,0.051,0.114,0.058,0.116,0.064,0.089
1970-1979,0.114,0.127,0.123,0.081,0.098,0.149,0.111,0.064,0.093,0.04
1980-1989,0.059,0.163,0.151,0.028,0.145,0.147,0.132,0.05,0.103,0.024
1990-1999,0.032,0.183,0.169,0.023,0.143,0.134,0.149,0.033,0.114,0.02
2000-2009,0.014,0.209,0.245,0.02,0.155,0.112,0.126,0.012,0.097,0.012
2010-2019,0.006,0.202,0.241,0.029,0.132,0.086,0.15,0.016,0.126,0.012
2020-2029,0.111,0.111,0.222,0.0,0.222,0.0,0.111,0.222,0.0,0.0
Total,0.152,0.114,0.116,0.109,0.089,0.111,0.09,0.08,0.078,0.06
