,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,14823,4358,1662,4171,2185,3278,7611,8790,3582,2407,2570,2689,3026,4442,8540,3451,3154,3240,3005,5545
1930-1939,12871,4618,1899,4691,2753,3792,11030,9150,3864,2616,3010,3231,3191,5039,8452,3915,3749,3685,3145,5465
1940-1949,13713,5776,2511,5678,3338,4441,12458,9713,5165,3567,3626,3734,3764,6049,9430,4688,5005,4926,4480,5949
1950-1959,9880,5341,2371,5458,3967,4696,9425,8657,5718,3516,3808,4101,3909,6529,8342,4917,5195,4479,4039,5905
1960-1969,10902,8917,5154,9130,8852,8330,10706,12171,8940,8564,6915,7331,7139,12334,10662,8400,8718,8864,8215,8725
1970-1979,8967,11516,8912,10617,13481,11659,9467,12217,11754,12879,9528,10548,11613,12123,9904,10789,10834,11983,11681,10635
1980-1989,6561,10618,10299,9720,13077,11502,7967,8701,11521,11692,10313,11325,12022,9710,8273,9756,10285,10464,12231,9568
1990-1999,4897,10636,12132,9278,12590,14052,5928,9493,12346,11786,12410,12137,12703,8650,7533,9648,10989,10037,11772,9560
2000-2009,4408,10710,20527,9414,13109,15038,5493,7467,12060,13030,15177,13998,12738,7613,7565,10875,12967,10107,10639,10142
2010-2019,3226,7772,18576,7233,9219,11127,4639,4580,8980,9723,12674,9647,9331,5764,5049,9071,9730,8351,8908,7835
2020-2029,57,126,307,127,99,113,62,62,113,175,227,102,136,74,59,130,164,116,146,85
Total,90305,80388,84350,75517,82670,88028,84786,91001,84043,79955,80258,78843,79572,78327,83809,75640,80790,76252,78261,79414
