,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,3,0,1,2,1,1,1,0,0,0,1,0,3,1,2,0,0,0,1,1
1930-1939,8,0,1,6,1,0,2,0,0,0,1,0,2,0,9,5,0,2,0,2
1940-1949,27,1,15,10,6,8,4,1,0,0,8,7,7,8,30,9,7,6,16,7
1950-1959,33,0,8,12,13,1,11,0,0,0,10,3,6,9,30,4,6,7,16,7
1960-1969,31,0,58,80,60,72,50,0,0,0,75,51,42,48,69,40,26,21,39,24
1970-1979,18,1,165,195,145,144,154,1,0,0,138,134,117,110,110,96,67,25,52,36
1980-1989,10,0,140,96,125,116,118,0,0,1,104,99,78,85,74,65,59,20,30,16
1990-1999,5,0,197,165,165,163,136,0,0,2,143,140,112,109,75,92,89,19,46,24
2000-2009,2,0,320,173,195,162,182,0,0,0,131,178,124,106,89,104,85,18,43,15
2010-2019,1,0,280,161,157,125,153,1,0,0,122,104,91,96,56,81,64,14,28,22
2020-2029,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0
Total,138,2,1185,901,868,792,812,3,0,3,733,718,582,572,544,497,403,132,271,154
