,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-1969,2,0,6,9,2,6,4,0,0,0,3,4,6,4,7,3,3,1,3,1
1970-1979,19,0,94,90,66,96,66,0,0,0,77,60,59,48,64,44,37,13,31,8
1980-1989,9,1,102,113,94,88,68,0,0,0,98,62,52,68,51,46,41,12,30,15
1990-1999,4,0,143,117,125,109,115,1,0,0,119,90,74,65,59,45,57,16,36,16
2000-2009,2,0,233,130,149,117,109,1,0,0,111,99,88,76,51,59,60,7,27,13
2010-2019,1,0,167,90,84,45,77,0,0,0,85,74,69,55,37,43,35,6,25,13
2020-2029,0,0,4,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Total,37,1,749,550,521,461,440,2,0,0,493,389,349,316,269,241,233,55,152,66
