,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1940-1949,0,171,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1950-1959,0,312,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0
1960-1969,0,238,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
1970-1979,0,132,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1980-1989,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1999,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2000-2009,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2019,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,1006,0,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,0,1
