,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,179,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0
1930-1939,0,359,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1
1940-1949,0,262,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
1950-1959,0,347,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
1960-1969,1,299,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1
1970-1979,0,128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1980-1989,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1990-1999,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2000-2009,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2019,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,1,1833,0,1,0,0,0,1,0,16,0,0,0,0,0,1,0,1,2,9
