,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.433,0.0,0.0,0.0,0.0,0.0,0.008,0.16,0.193,0.138,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.055,0.0,0.007
1930-1939,0.394,0.0,0.0,0.0,0.0,0.0,0.007,0.199,0.186,0.149,0.0,0.0,0.0,0.001,0.0,0.007,0.001,0.051,0.002,0.004
1940-1949,0.42,0.001,0.0,0.0,0.0,0.0,0.005,0.189,0.162,0.166,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.044,0.001,0.007
1950-1959,0.324,0.002,0.0,0.0,0.0,0.0,0.023,0.165,0.218,0.21,0.002,0.0,0.002,0.0,0.0,0.002,0.0,0.048,0.002,0.005
1960-1969,0.306,0.0,0.0,0.0,0.0,0.0,0.018,0.147,0.179,0.294,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.045,0.0,0.011
1970-1979,0.322,0.0,0.0,0.0,0.0,0.005,0.038,0.197,0.159,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.024
1980-1989,0.329,0.0,0.0,0.0,0.0,0.0,0.009,0.127,0.249,0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.023
1990-1999,0.322,0.0,0.0,0.0,0.0,0.0,0.007,0.192,0.205,0.233,0.007,0.0,0.0,0.007,0.0,0.0,0.0,0.027,0.0,0.0
2000-2009,0.358,0.0,0.0,0.0,0.007,0.0,0.022,0.157,0.201,0.187,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.03,0.0,0.03
2010-2019,0.429,0.0,0.0,0.0,0.0,0.02,0.0,0.102,0.163,0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,
Total,0.371,0.0,0.0,0.0,0.0,0.001,0.013,0.172,0.187,0.192,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.048,0.001,0.009
