,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,398,156,1,2,1,1,8,146,176,129,1,0,3,1,3,7,0,50,1,8
1930-1939,400,492,1,6,1,0,9,200,186,152,1,0,2,1,9,12,1,53,2,7
1940-1949,372,521,16,10,6,8,8,156,134,140,8,7,7,8,30,13,8,42,17,17
1950-1959,234,306,8,12,13,1,25,102,135,134,11,4,7,9,30,5,6,37,17,11
1960-1969,291,293,59,80,60,72,65,125,152,254,75,52,42,48,69,42,26,59,39,36
1970-1979,154,185,165,195,145,146,170,84,67,89,138,135,117,110,111,97,67,47,52,47
1980-1989,80,120,140,96,125,116,120,27,53,48,104,99,78,85,74,65,59,30,30,21
1990-1999,52,45,197,165,165,163,137,28,30,36,144,140,112,110,75,92,89,23,46,24
2000-2009,50,24,320,173,196,162,185,21,27,25,131,178,124,106,89,104,86,22,43,19
2010-2019,22,18,280,161,157,126,153,6,8,13,122,104,91,96,56,81,64,16,28,22
2020-2029,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0
Total,2053,2160,1187,901,869,795,881,895,968,1020,735,721,583,574,546,519,406,379,275,212
