,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-1969,4,11,6,9,2,6,4,10,5,7,3,4,6,4,7,3,3,2,3,2
1970-1979,101,87,94,90,66,96,68,52,38,38,77,60,59,48,64,45,37,19,32,10
1980-1989,67,54,102,113,94,88,71,24,28,31,98,62,53,68,51,46,41,20,30,17
1990-1999,32,59,143,117,125,109,115,21,20,19,119,90,74,65,59,45,57,18,36,16
2000-2009,26,18,233,130,149,117,111,10,17,25,111,99,88,76,51,59,60,11,27,15
2010-2019,11,32,167,90,84,45,78,6,8,5,85,74,69,55,37,43,35,8,25,13
2020-2029,1,0,4,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Total,242,261,749,550,521,461,448,123,116,125,493,389,350,316,269,242,233,78,153,73
