,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.014,0.013,0.02,0.021,0.02,0.04,0.017,0.017,0.01,0.028,0.012,0.02,0.017,0.018,0.016,0.019,0.022,0.062,0.018,0.015,0.046,0.01,0.027,0.02,0.02,0.015,0.032,0.012,0.01,0.021,0.017,0.021,0.008,0.016,0.026,0.015,0.009,0.009,0.019,0.051,0.014,0.016,0.013,0.012,0.014,0.029,0.021,0.013,0.027,0.016
1930-1939,0.012,0.015,0.02,0.023,0.02,0.03,0.014,0.018,0.014,0.025,0.015,0.022,0.018,0.018,0.015,0.027,0.036,0.055,0.017,0.018,0.034,0.016,0.015,0.015,0.019,0.018,0.022,0.013,0.012,0.027,0.015,0.022,0.008,0.015,0.025,0.018,0.01,0.015,0.019,0.059,0.018,0.015,0.015,0.011,0.017,0.024,0.017,0.017,0.022,0.019
1940-1949,0.016,0.015,0.021,0.021,0.019,0.036,0.014,0.026,0.011,0.022,0.01,0.02,0.018,0.02,0.016,0.022,0.037,0.051,0.016,0.021,0.049,0.016,0.021,0.019,0.014,0.011,0.027,0.015,0.01,0.023,0.015,0.02,0.01,0.016,0.024,0.018,0.01,0.01,0.023,0.048,0.016,0.018,0.012,0.012,0.011,0.029,0.018,0.012,0.02,0.019
1950-1959,0.018,0.02,0.027,0.021,0.02,0.034,0.018,0.021,0.014,0.025,0.014,0.022,0.017,0.021,0.015,0.023,0.027,0.035,0.016,0.02,0.037,0.014,0.02,0.014,0.014,0.014,0.029,0.015,0.012,0.022,0.017,0.024,0.011,0.019,0.029,0.02,0.01,0.011,0.022,0.03,0.016,0.021,0.015,0.017,0.017,0.027,0.02,0.014,0.021,0.023
1960-1969,0.02,0.018,0.023,0.024,0.019,0.032,0.019,0.022,0.015,0.018,0.017,0.022,0.019,0.024,0.018,0.02,0.022,0.025,0.016,0.019,0.026,0.019,0.022,0.018,0.016,0.017,0.023,0.017,0.019,0.022,0.02,0.016,0.018,0.021,0.022,0.022,0.01,0.016,0.025,0.024,0.019,0.02,0.017,0.016,0.018,0.022,0.019,0.021,0.021,0.023
1970-1979,0.021,0.018,0.021,0.023,0.02,0.024,0.017,0.021,0.021,0.016,0.02,0.02,0.017,0.019,0.02,0.019,0.017,0.018,0.02,0.021,0.02,0.021,0.018,0.021,0.021,0.02,0.02,0.02,0.024,0.02,0.019,0.019,0.022,0.02,0.022,0.024,0.014,0.024,0.023,0.019,0.021,0.021,0.017,0.018,0.018,0.017,0.019,0.021,0.016,0.026
1980-1989,0.024,0.022,0.019,0.021,0.021,0.016,0.021,0.021,0.022,0.018,0.022,0.019,0.022,0.019,0.019,0.02,0.019,0.014,0.024,0.021,0.016,0.02,0.017,0.02,0.021,0.022,0.02,0.022,0.027,0.018,0.017,0.017,0.021,0.021,0.025,0.02,0.018,0.024,0.019,0.011,0.021,0.02,0.022,0.022,0.021,0.017,0.017,0.023,0.017,0.022
1990-1999,0.024,0.022,0.02,0.016,0.022,0.02,0.019,0.018,0.027,0.018,0.025,0.018,0.021,0.017,0.023,0.021,0.013,0.01,0.025,0.021,0.011,0.021,0.017,0.021,0.02,0.029,0.018,0.023,0.024,0.018,0.02,0.018,0.026,0.018,0.019,0.017,0.022,0.028,0.013,0.013,0.019,0.021,0.023,0.024,0.018,0.015,0.018,0.023,0.018,0.027
2000-2009,0.015,0.018,0.016,0.017,0.022,0.016,0.024,0.016,0.033,0.022,0.026,0.017,0.022,0.014,0.022,0.019,0.011,0.009,0.017,0.021,0.009,0.02,0.019,0.018,0.021,0.026,0.013,0.023,0.033,0.016,0.018,0.019,0.025,0.022,0.017,0.019,0.04,0.026,0.016,0.009,0.023,0.019,0.025,0.029,0.021,0.017,0.019,0.02,0.02,0.023
2010-2019,0.013,0.025,0.016,0.021,0.02,0.012,0.026,0.018,0.026,0.017,0.022,0.018,0.022,0.011,0.025,0.016,0.012,0.009,0.024,0.022,0.011,0.019,0.021,0.019,0.019,0.025,0.011,0.031,0.025,0.014,0.023,0.017,0.022,0.023,0.015,0.017,0.031,0.024,0.013,0.008,0.024,0.024,0.028,0.022,0.026,0.014,0.017,0.028,0.023,0.029
2020-2029,0.01,0.041,0.01,0.01,0.0,0.005,0.005,0.02,0.036,0.01,0.0,0.005,0.036,0.02,0.036,0.0,0.02,0.005,0.03,0.02,0.01,0.03,0.01,0.01,0.005,0.046,0.01,0.015,0.015,0.02,0.01,0.015,0.025,0.005,0.03,0.036,0.112,0.041,0.005,0.0,0.03,0.0,0.02,0.025,0.015,0.02,0.005,0.036,0.036,0.041
Total,0.017,0.021,0.019,0.02,0.018,0.024,0.018,0.02,0.021,0.02,0.016,0.018,0.021,0.018,0.02,0.019,0.021,0.027,0.02,0.02,0.025,0.019,0.019,0.018,0.017,0.022,0.02,0.019,0.019,0.02,0.017,0.019,0.018,0.018,0.023,0.021,0.026,0.021,0.018,0.025,0.02,0.018,0.019,0.019,0.018,0.021,0.017,0.021,0.022,0.024
