,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.015,0.017,0.026,0.019,0.017,0.027,0.02,0.029,0.02,0.021,0.022,0.013,0.016,0.04,0.012,0.016,0.01,0.013,0.016,0.016,0.014,0.046,0.027,0.015,0.01,0.015,0.021,0.019,0.017,0.018,0.009,0.014,0.02,0.051,0.008,0.032,0.021,0.018,0.012,0.02,0.02,0.012,0.017,0.01,0.062,0.021,0.009,0.028,0.013,0.014
1930-1939,0.018,0.015,0.025,0.019,0.018,0.015,0.022,0.024,0.015,0.017,0.036,0.015,0.015,0.03,0.013,0.019,0.014,0.015,0.015,0.015,0.012,0.034,0.022,0.018,0.012,0.018,0.027,0.027,0.014,0.017,0.01,0.017,0.02,0.059,0.008,0.022,0.023,0.018,0.015,0.02,0.019,0.011,0.018,0.016,0.055,0.022,0.015,0.025,0.017,0.018
1940-1949,0.018,0.015,0.024,0.023,0.018,0.021,0.02,0.029,0.019,0.018,0.037,0.012,0.016,0.036,0.015,0.019,0.011,0.015,0.016,0.018,0.016,0.049,0.02,0.011,0.01,0.021,0.023,0.022,0.014,0.016,0.01,0.011,0.019,0.048,0.01,0.027,0.021,0.02,0.01,0.021,0.014,0.012,0.026,0.016,0.051,0.02,0.01,0.022,0.012,0.016
1950-1959,0.02,0.017,0.029,0.022,0.017,0.02,0.022,0.027,0.014,0.02,0.027,0.015,0.019,0.034,0.015,0.023,0.014,0.02,0.015,0.021,0.018,0.037,0.021,0.014,0.012,0.02,0.022,0.023,0.018,0.016,0.01,0.017,0.02,0.03,0.011,0.029,0.021,0.021,0.014,0.027,0.014,0.017,0.021,0.014,0.035,0.024,0.011,0.025,0.014,0.016
1960-1969,0.022,0.02,0.022,0.025,0.019,0.022,0.022,0.022,0.018,0.019,0.022,0.017,0.021,0.032,0.017,0.023,0.015,0.018,0.018,0.02,0.02,0.026,0.021,0.017,0.019,0.019,0.022,0.02,0.019,0.016,0.01,0.018,0.019,0.024,0.018,0.023,0.024,0.024,0.017,0.023,0.016,0.016,0.022,0.019,0.025,0.016,0.016,0.018,0.021,0.019
1970-1979,0.024,0.019,0.022,0.023,0.017,0.018,0.02,0.017,0.021,0.019,0.017,0.017,0.02,0.024,0.02,0.026,0.021,0.018,0.02,0.021,0.021,0.02,0.016,0.02,0.024,0.021,0.02,0.019,0.017,0.02,0.014,0.018,0.02,0.019,0.022,0.02,0.023,0.019,0.02,0.021,0.021,0.018,0.021,0.021,0.018,0.019,0.024,0.016,0.021,0.021
1980-1989,0.02,0.017,0.025,0.019,0.022,0.017,0.019,0.017,0.02,0.017,0.019,0.022,0.021,0.016,0.022,0.022,0.022,0.022,0.019,0.02,0.024,0.016,0.017,0.022,0.027,0.021,0.018,0.02,0.021,0.024,0.018,0.021,0.021,0.011,0.021,0.02,0.021,0.019,0.022,0.019,0.021,0.022,0.021,0.02,0.014,0.017,0.024,0.018,0.023,0.021
1990-1999,0.017,0.02,0.019,0.013,0.021,0.017,0.018,0.015,0.021,0.018,0.013,0.023,0.018,0.02,0.023,0.027,0.027,0.022,0.023,0.021,0.024,0.011,0.018,0.029,0.024,0.021,0.018,0.021,0.019,0.025,0.022,0.018,0.022,0.013,0.026,0.018,0.016,0.017,0.025,0.02,0.02,0.024,0.018,0.021,0.01,0.018,0.028,0.018,0.023,0.019
2000-2009,0.019,0.018,0.017,0.016,0.022,0.019,0.017,0.017,0.018,0.019,0.011,0.025,0.022,0.016,0.023,0.023,0.033,0.018,0.022,0.019,0.015,0.009,0.02,0.026,0.033,0.021,0.016,0.019,0.024,0.017,0.04,0.021,0.022,0.009,0.025,0.013,0.017,0.014,0.026,0.016,0.021,0.029,0.016,0.02,0.009,0.019,0.026,0.022,0.02,0.023
2010-2019,0.017,0.023,0.015,0.013,0.022,0.021,0.018,0.014,0.019,0.017,0.012,0.028,0.023,0.012,0.031,0.029,0.026,0.025,0.025,0.024,0.013,0.011,0.023,0.025,0.025,0.022,0.014,0.016,0.026,0.024,0.031,0.026,0.02,0.008,0.022,0.011,0.021,0.011,0.022,0.016,0.019,0.022,0.018,0.019,0.009,0.017,0.024,0.017,0.028,0.024
2020-2029,0.036,0.01,0.03,0.005,0.036,0.01,0.005,0.02,0.01,0.005,0.02,0.02,0.005,0.005,0.015,0.041,0.036,0.041,0.036,0.0,0.01,0.01,0.036,0.046,0.015,0.02,0.02,0.0,0.005,0.03,0.112,0.015,0.0,0.0,0.025,0.01,0.01,0.02,0.0,0.01,0.005,0.025,0.02,0.03,0.005,0.015,0.041,0.01,0.036,0.03
Total,0.02,0.018,0.022,0.019,0.02,0.019,0.019,0.019,0.019,0.018,0.019,0.02,0.02,0.023,0.021,0.024,0.021,0.02,0.02,0.02,0.02,0.021,0.019,0.021,0.023,0.02,0.019,0.02,0.019,0.02,0.019,0.019,0.02,0.02,0.02,0.02,0.021,0.018,0.02,0.02,0.019,0.02,0.02,0.019,0.021,0.019,0.021,0.019,0.021,0.02
