,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,388,388,392,507,307,427,377,680,290,399,497,278,226,695,280,381,255,321,349,430,378,706,535,252,217,402,600,512,348,317,238,337,336,1302,226,543,386,547,274,487,357,293,417,326,1452,448,291,415,263,387
1930-1939,562,635,646,689,524,678,571,879,478,511,1055,404,439,1027,400,541,388,448,462,610,528,1432,730,405,320,553,707,714,426,384,301,406,497,1442,353,809,581,691,393,643,477,480,550,453,1493,711,388,684,366,466
1940-1949,547,628,611,661,544,543,549,876,486,519,1285,452,468,883,436,596,405,470,508,552,543,1347,642,470,305,518,758,754,442,502,291,472,499,1144,357,679,615,656,384,729,481,435,570,511,1403,680,429,640,417,488
1950-1959,420,433,515,568,396,469,437,552,349,403,601,305,417,644,316,597,325,353,366,422,449,741,440,366,334,458,436,564,357,382,227,326,379,661,273,503,479,505,327,533,367,353,456,375,782,494,315,465,317,358
1960-1969,890,733,813,1004,746,754,736,762,767,747,789,650,821,1075,699,851,666,638,698,803,864,1000,754,674,724,858,706,842,722,582,476,638,667,781,680,835,842,1054,636,936,711,628,786,747,909,717,662,766,800,699
1970-1979,1083,874,1163,942,919,925,964,791,919,878,905,825,1001,972,976,1011,890,909,960,819,1121,830,844,845,1066,924,905,892,892,890,687,787,982,744,992,948,1145,926,856,930,937,865,1054,902,748,786,992,827,946,1040
1980-1989,625,584,724,591,669,694,623,538,647,645,623,634,623,419,686,706,663,670,608,639,704,507,569,646,843,666,546,535,641,615,567,660,626,377,602,594,623,550,738,523,659,705,612,676,459,521,717,564,715,599
1990-1999,678,673,688,533,720,721,740,612,682,715,503,858,818,752,813,996,1015,776,894,737,881,405,677,904,954,846,606,911,733,847,686,685,868,451,936,569,692,613,939,587,725,875,680,750,379,694,906,731,717,741
2000-2009,751,822,641,524,789,825,651,676,860,834,518,1051,940,544,1060,1027,1332,848,943,822,606,390,730,1049,1230,876,669,896,899,788,1465,1079,899,356,1212,506,704,644,1062,524,847,1064,635,711,419,843,917,935,958,912
2010-2019,556,561,539,417,713,597,561,443,715,671,377,872,684,429,866,695,991,754,642,663,472,281,639,823,1086,754,449,565,798,635,1428,770,583,266,708,393,633,439,799,499,664,796,556,617,282,589,746,719,758,710
2020-2029,2,2,2,0,4,0,2,1,4,2,0,0,3,0,6,4,0,0,4,1,1,0,0,0,1,4,0,2,0,2,10,4,3,0,1,3,1,2,0,2,3,1,0,4,0,2,3,1,1,8
Total,6502,6333,6734,6436,6331,6633,6211,6810,6197,6324,7153,6329,6440,7440,6538,7405,6930,6187,6434,6498,6547,7639,6560,6434,7080,6859,6382,7187,6258,5944,6376,6164,6339,7524,6340,6382,6701,6627,6408,6393,6228,6495,6316,6072,8326,6485,6366,6747,6258,6408
