,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0
1930-1939,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,6,3,0,4,1,0,3,0,3,3,2,3,2,1,1,0,4,5,1,0,1,1,4,15,1,0,0,2,0,0,1,13,2,1,5,2,0,5,3,0,0,1,1,0,1,1,0
1950-1959,0,0,4,0,4,0,5,7,0,7,0,6,2,3,13,5,3,3,0,3,3,5,1,2,4,1,58,3,4,1,3,0,0,3,39,1,3,2,0,0,12,3,1,0,0,0,0,0,1,0
1960-1969,0,0,7,39,22,0,39,26,0,22,0,26,34,38,25,29,16,25,1,13,18,17,0,21,14,23,60,14,9,0,16,0,1,13,25,14,6,6,9,3,27,8,8,4,2,0,0,4,1,0
1970-1979,0,0,0,59,75,0,60,45,0,56,2,51,51,50,51,42,46,46,1,41,27,34,0,41,25,41,54,30,30,2,30,1,5,19,21,22,10,11,11,22,13,11,16,10,0,1,3,0,1,0
1980-1989,0,0,0,79,60,0,60,65,0,62,1,50,43,57,49,47,53,40,3,54,44,38,1,34,22,34,11,41,26,0,26,0,3,38,4,28,16,12,18,16,6,15,11,8,0,1,2,3,1,0
1990-1999,0,0,1,50,64,0,50,46,0,44,0,38,40,31,28,36,39,42,0,35,41,30,0,23,15,20,6,18,19,0,19,0,3,19,3,15,8,15,11,11,1,13,3,6,0,2,5,1,3,0
2000-2009,0,0,0,79,69,0,54,71,0,50,1,49,40,48,36,39,44,30,0,34,33,39,0,43,35,31,5,30,32,0,30,0,2,23,1,12,13,11,21,14,0,11,5,6,0,1,2,0,1,0
2010-2019,0,0,0,39,19,0,26,25,0,25,0,19,17,18,18,20,23,16,0,20,15,13,0,18,20,13,1,11,11,0,12,0,1,9,1,7,10,5,4,6,1,8,2,4,0,1,2,0,0,0
2020-2029,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,13,352,316,0,300,286,0,269,4,243,232,248,223,221,225,203,5,204,186,177,2,184,138,169,210,148,131,3,138,1,15,125,108,102,67,67,77,72,66,74,47,39,3,7,14,9,9,0
