,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0,0,1,1,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,1,0,0,2,0,0,0,0,2,1,0,4,3,0,0,0,0,3,1,0,0,1,0,9,0,1,0,0,1,1,1,4,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,6,7,0,1,7,0,6,1,4,2,3,11,4,2,6,2,4,2,4,0,1,2,2,31,1,4,0,2,0,1,2,31,2,1,4,1,1,11,1,2,1,0,0,2,1,1,0
1950-1959,0,0,2,4,7,0,4,5,0,8,0,5,1,1,11,3,4,2,0,2,8,3,0,4,5,1,25,2,3,0,1,0,0,1,21,0,3,1,4,1,27,1,4,0,1,0,0,1,0,0
1960-1969,0,0,2,35,41,0,24,31,0,42,0,27,35,28,22,30,27,28,1,15,23,31,0,23,17,27,65,19,19,1,20,0,0,12,28,11,6,13,13,8,30,11,11,2,1,3,0,1,3,0
1970-1979,1,0,4,89,96,0,76,87,0,80,0,57,73,62,77,70,59,54,0,60,58,50,0,53,57,62,47,50,51,2,43,0,4,37,22,34,20,26,19,27,26,12,22,12,6,10,3,3,6,1
1980-1989,0,0,0,73,66,0,49,66,0,65,0,50,52,54,55,52,47,48,1,42,49,57,0,37,38,36,24,34,23,0,33,1,3,24,6,23,17,24,14,24,9,12,10,13,0,2,1,0,1,1
1990-1999,0,0,1,111,111,1,110,87,0,73,1,74,74,63,56,62,86,66,0,57,73,64,0,52,46,42,13,59,48,1,45,0,3,32,3,29,25,24,20,17,8,14,15,11,0,1,2,1,1,0
2000-2009,1,0,1,150,130,0,134,87,0,82,0,83,92,71,72,88,79,75,3,98,62,65,0,70,55,40,6,60,50,1,50,0,1,49,1,23,21,26,23,27,2,19,9,15,1,0,2,0,3,0
2010-2019,0,0,1,144,80,0,103,90,0,71,0,75,67,71,55,62,64,68,0,54,50,42,0,50,49,39,7,32,47,3,44,1,0,35,3,21,16,34,24,19,0,12,10,10,1,0,1,0,1,0
2020-2029,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,2,0,12,614,540,1,503,461,0,428,2,377,398,354,363,375,369,347,7,332,328,320,0,291,272,250,229,257,247,8,238,3,13,193,119,144,109,153,119,124,117,82,83,64,10,16,11,7,16,2
