,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-1969,0,0,0,4,4,0,1,4,0,1,0,2,3,2,2,3,3,3,0,1,3,1,0,1,1,3,1,3,3,0,1,0,0,0,5,2,2,1,1,0,0,1,0,0,0,0,0,1,0,1
1970-1979,0,0,1,38,45,0,55,34,0,42,0,32,44,50,40,38,32,38,1,28,30,29,1,29,21,16,35,18,23,0,16,0,1,15,11,20,8,13,15,13,17,4,5,8,1,1,1,0,3,0
1980-1989,0,0,3,45,55,0,41,38,0,53,1,35,37,30,40,44,37,38,0,32,44,35,1,22,28,23,23,21,30,0,28,0,3,27,9,26,9,23,12,16,8,12,12,3,3,2,1,0,0,0
1990-1999,0,1,0,76,76,1,70,79,0,66,2,46,49,45,54,45,49,50,1,41,41,44,0,37,32,28,12,31,42,0,35,0,0,27,3,15,20,12,11,15,6,9,8,3,0,2,4,0,2,1
2000-2009,0,0,1,122,83,0,82,81,0,67,0,53,53,52,55,60,49,58,1,42,43,40,0,46,32,38,4,33,37,0,34,0,2,33,0,17,18,31,13,11,3,8,12,9,3,0,4,0,1,1
2010-2019,0,0,0,94,53,0,48,46,0,49,0,39,31,25,35,40,40,38,0,34,35,35,0,25,28,22,3,29,26,1,26,0,2,15,0,12,10,19,13,8,0,9,9,4,0,2,1,0,0,0
2020-2029,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,1,5,383,316,1,297,282,0,278,3,208,217,204,226,231,210,226,3,178,196,185,2,160,142,130,78,135,161,1,140,0,8,117,28,92,68,99,65,63,34,43,46,27,7,7,11,1,6,3
