,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.0,0.0,0.019,0.028,0.057,0.0,0.038,0.028,0.0,0.019,0.0,0.0,0.085,0.019,0.057,0.019,0.019,0.0,0.0,0.0,0.009,0.047,0.0,0.009,0.009,0.047,0.189,0.0,0.009,0.009,0.009,0.0,0.0,0.019,0.094,0.009,0.009,0.009,0.009,0.038,0.019,0.019,0.028,0.009,0.0,0.0,0.0,0.009,0.0,0.0
1930-1939,0.0,0.0,0.02,0.013,0.0,0.0,0.033,0.02,0.0,0.0,0.0,0.033,0.02,0.013,0.06,0.04,0.013,0.02,0.007,0.0,0.026,0.02,0.0,0.007,0.007,0.007,0.245,0.013,0.007,0.0,0.0,0.007,0.007,0.007,0.166,0.0,0.02,0.007,0.007,0.013,0.106,0.0,0.02,0.0,0.013,0.0,0.0,0.0,0.007,0.0
1940-1949,0.001,0.001,0.009,0.034,0.03,0.0,0.017,0.03,0.0,0.031,0.001,0.022,0.018,0.018,0.055,0.021,0.018,0.023,0.004,0.018,0.025,0.018,0.0,0.018,0.017,0.017,0.184,0.009,0.014,0.001,0.018,0.004,0.005,0.018,0.126,0.017,0.009,0.017,0.012,0.003,0.072,0.01,0.004,0.004,0.005,0.003,0.004,0.008,0.003,0.003
1950-1959,0.0,0.0,0.01,0.023,0.026,0.0,0.024,0.024,0.0,0.033,0.0,0.025,0.013,0.014,0.063,0.025,0.019,0.029,0.001,0.021,0.025,0.016,0.001,0.013,0.024,0.01,0.19,0.011,0.019,0.003,0.015,0.001,0.0,0.01,0.154,0.001,0.011,0.009,0.015,0.001,0.09,0.005,0.018,0.0,0.001,0.003,0.001,0.001,0.003,0.0
1960-1969,0.0,0.0,0.005,0.045,0.049,0.0,0.038,0.04,0.0,0.04,0.001,0.035,0.043,0.048,0.039,0.033,0.029,0.033,0.002,0.026,0.033,0.031,0.0,0.027,0.023,0.032,0.087,0.02,0.019,0.001,0.021,0.001,0.002,0.017,0.042,0.019,0.012,0.013,0.012,0.012,0.034,0.011,0.012,0.004,0.002,0.003,0.001,0.003,0.001,0.001
1970-1979,0.0,0.0,0.002,0.049,0.056,0.0,0.047,0.048,0.0,0.047,0.0,0.039,0.046,0.048,0.044,0.039,0.038,0.036,0.001,0.033,0.034,0.031,0.0,0.03,0.027,0.032,0.035,0.025,0.025,0.001,0.022,0.001,0.002,0.02,0.016,0.021,0.01,0.014,0.014,0.016,0.015,0.009,0.01,0.008,0.001,0.002,0.002,0.001,0.002,0.001
1980-1989,0.0,0.0,0.001,0.056,0.056,0.0,0.047,0.052,0.0,0.054,0.0,0.04,0.04,0.043,0.041,0.044,0.042,0.042,0.002,0.035,0.039,0.036,0.0,0.03,0.029,0.031,0.017,0.026,0.023,0.0,0.025,0.0,0.002,0.023,0.008,0.02,0.013,0.014,0.013,0.013,0.007,0.01,0.009,0.007,0.001,0.002,0.002,0.001,0.001,0.0
1990-1999,0.0,0.0,0.001,0.066,0.068,0.0,0.059,0.052,0.0,0.046,0.001,0.042,0.041,0.039,0.039,0.04,0.045,0.042,0.0,0.039,0.038,0.037,0.0,0.033,0.03,0.026,0.007,0.027,0.027,0.001,0.026,0.0,0.001,0.02,0.004,0.017,0.013,0.015,0.012,0.011,0.004,0.01,0.007,0.007,0.001,0.001,0.002,0.001,0.002,0.0
2000-2009,0.0,0.0,0.0,0.078,0.068,0.0,0.062,0.054,0.0,0.049,0.0,0.043,0.043,0.041,0.038,0.042,0.04,0.041,0.001,0.037,0.031,0.037,0.0,0.037,0.029,0.028,0.003,0.03,0.027,0.0,0.026,0.0,0.001,0.023,0.001,0.012,0.011,0.015,0.013,0.011,0.002,0.009,0.006,0.007,0.001,0.001,0.001,0.0,0.001,0.0
2010-2019,0.0,0.0,0.001,0.086,0.056,0.0,0.065,0.054,0.0,0.05,0.0,0.047,0.037,0.039,0.041,0.044,0.042,0.042,0.0,0.038,0.033,0.034,0.0,0.034,0.031,0.026,0.003,0.024,0.026,0.001,0.027,0.0,0.001,0.019,0.001,0.013,0.011,0.017,0.014,0.01,0.0,0.01,0.008,0.006,0.0,0.001,0.002,0.0,0.001,0.0
2020-2029,0.0,0.0,0.0,0.144,0.025,0.0,0.076,0.025,0.0,0.025,0.0,0.068,0.025,0.051,0.034,0.034,0.025,0.042,0.0,0.051,0.025,0.059,0.0,0.051,0.051,0.008,0.0,0.017,0.0,0.0,0.034,0.0,0.0,0.025,0.0,0.034,0.017,0.017,0.025,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.0,0.0,0.006,0.057,0.045,0.0,0.046,0.039,0.0,0.036,0.0,0.036,0.037,0.034,0.046,0.035,0.03,0.032,0.002,0.027,0.029,0.033,0.0,0.026,0.025,0.024,0.087,0.018,0.018,0.002,0.02,0.001,0.002,0.018,0.056,0.015,0.012,0.013,0.013,0.012,0.032,0.008,0.012,0.005,0.002,0.001,0.001,0.002,0.002,0.0
