,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,441,0,0,0,0,0,1,0,100,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,1,0,1
1930-1939,838,0,0,0,0,0,0,1,347,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,2,0,0,1,0,2,0,3,0,0,0
1940-1949,835,0,0,0,0,0,0,1,363,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,3,0,0,4,0,0,1,0,0,0,2
1950-1959,779,0,0,0,0,0,1,0,296,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,1,1,1,1,4,0,2,0,1,4,0,3,2,1,0,0,0
1960-1969,723,0,1,0,0,0,0,1,285,1,3,0,0,1,0,1,0,0,3,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,2,1,1,2,1,2,0,0,0,3,1,0,0,0,1,0
1970-1979,419,0,0,0,1,0,0,0,149,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,1
1980-1989,201,0,0,0,0,0,0,0,127,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1990-1999,116,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2000-2009,75,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2019,85,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2020-2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,4512,0,1,0,1,0,2,3,1744,3,6,1,0,2,0,2,5,3,5,0,3,1,3,1,1,3,0,1,1,3,0,0,6,4,5,6,7,7,2,9,1,1,16,5,7,5,6,1,1,5
