,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.0,0.0,0.111,0.0,0.0,0.139,0.0,0.0,0.0,0.0,0.278,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.194,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0
1930-1939,0.0,0.188,0.156,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.031,0.094,0.0,0.062,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0
1940-1949,0.0,0.388,0.122,0.0,0.0,0.224,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.02,0.0,0.041,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
1950-1959,0.0,0.174,0.199,0.0,0.0,0.169,0.0,0.0,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.065,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.005,0.0,0.0,0.05,0.0,0.05,0.045,0.0,0.01,0.0,0.02,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.01
1960-1969,0.0,0.176,0.113,0.0,0.0,0.137,0.003,0.0,0.003,0.0,0.151,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.088,0.005,0.0,0.003,0.005,0.0,0.0,0.071,0.0,0.055,0.052,0.003,0.011,0.0,0.011,0.0,0.003,0.003,0.0,0.003,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0
1970-1979,0.0,0.19,0.15,0.0,0.0,0.157,0.0,0.0,0.004,0.0,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.007,0.0,0.0,0.036,0.0,0.047,0.069,0.0,0.011,0.0,0.011,0.0,0.004,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0
1980-1989,0.0,0.177,0.177,0.0,0.0,0.137,0.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.065,0.003,0.0,0.0,0.075,0.0,0.0,0.0,0.003,0.0,0.0,0.072,0.0,0.068,0.082,0.0,0.017,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.003,0.0,0.003,0.0,0.0
1990-1999,0.004,0.153,0.175,0.0,0.0,0.189,0.007,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.004,0.007,0.029,0.004,0.0,0.004,0.047,0.0,0.0,0.0,0.004,0.0,0.0,0.058,0.0,0.073,0.073,0.0,0.011,0.0,0.011,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.007,0.007,0.0,0.004,0.004,0.0
2000-2009,0.0,0.231,0.12,0.004,0.0,0.142,0.004,0.0,0.004,0.0,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.004,0.0,0.0,0.062,0.0,0.027,0.084,0.0,0.009,0.0,0.009,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.009,0.004,0.0,0.013,0.0,0.0
2010-2019,0.0,0.127,0.19,0.0,0.0,0.19,0.013,0.0,0.0,0.0,0.139,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.013,0.0,0.0,0.089,0.0,0.051,0.025,0.0,0.0,0.0,0.025,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2029,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.0,0.255,0.138,0.0,0.0,0.146,0.002,0.0,0.001,0.0,0.122,0.0,0.001,0.0,0.003,0.0,0.0,0.001,0.068,0.001,0.0,0.0,0.049,0.0,0.0,0.0,0.008,0.0,0.0,0.047,0.0,0.05,0.063,0.0,0.012,0.0,0.008,0.001,0.001,0.005,0.0,0.0,0.0,0.0,0.006,0.001,0.003,0.003,0.002,0.001
