,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.0,0.0,0.004,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.109,0.0,0.0,0.0,0.256,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.109,0.0,0.008,0.0,0.0,0.021,0.0,0.0,0.0,0.076,0.294,0.0,0.0,0.0,0.004,0.0,0.05,0.0,0.0,0.0,0.0
1930-1939,0.0,0.0,0.022,0.0,0.0,0.054,0.011,0.0,0.0,0.0,0.0,0.0,0.011,0.151,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.129,0.0,0.011,0.0,0.0,0.032,0.0,0.0,0.0,0.075,0.183,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0
1940-1949,0.0,0.0,0.012,0.0,0.0,0.047,0.003,0.006,0.0,0.0,0.003,0.0,0.0,0.081,0.0,0.0,0.0,0.371,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.056,0.0,0.0,0.0,0.003,0.025,0.009,0.0,0.0,0.103,0.199,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.009,0.0
1950-1959,0.003,0.0,0.009,0.0,0.001,0.071,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.124,0.0,0.004,0.0,0.244,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.001,0.055,0.0,0.0,0.059,0.011,0.001,0.0,0.0,0.049,0.004,0.0,0.0,0.108,0.194,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.004,0.001
1960-1969,0.002,0.0,0.014,0.0,0.002,0.071,0.002,0.002,0.0,0.002,0.0,0.0,0.0,0.129,0.0,0.0,0.0,0.233,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.059,0.0,0.002,0.079,0.012,0.006,0.0,0.0,0.044,0.011,0.0,0.0,0.101,0.169,0.0,0.0,0.002,0.0,0.0,0.056,0.0,0.0,0.003,0.0
1970-1979,0.003,0.0,0.009,0.0,0.0,0.058,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.144,0.0,0.0,0.0,0.219,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.098,0.009,0.0,0.0,0.003,0.061,0.009,0.0,0.0,0.124,0.17,0.003,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.003,0.0
1980-1989,0.005,0.0,0.021,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.0,0.108,0.01,0.0,0.0,0.005,0.077,0.005,0.0,0.0,0.088,0.18,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0
1990-1999,0.0,0.0,0.019,0.0,0.0,0.067,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.0,0.0,0.0,0.173,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.038,0.0,0.019,0.058,0.01,0.01,0.0,0.0,0.067,0.01,0.0,0.0,0.115,0.125,0.0,0.0,0.0,0.01,0.0,0.048,0.0,0.0,0.01,0.0
2000-2009,0.0,0.0,0.038,0.0,0.0,0.038,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.245,0.0,0.0,0.019,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.094,0.17,0.019,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.019,0.0
2010-2019,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.25,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0
Total,0.001,0.0,0.013,0.0,0.0,0.056,0.002,0.002,0.0,0.001,0.001,0.0,0.001,0.132,0.0,0.0,0.002,0.209,0.002,0.03,0.0,0.0,0.001,0.0,0.0,0.0,0.038,0.0,0.002,0.094,0.008,0.003,0.0,0.001,0.043,0.004,0.0,0.0,0.103,0.168,0.002,0.0,0.0,0.001,0.0,0.072,0.0,0.0,0.004,0.0
