,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.001,0.0,0.011,0.0,0.003,0.047,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.092,0.0,0.001,0.032,0.228,0.002,0.001,0.139,0.0,0.001,0.002,0.0,0.0,0.038,0.0,0.002,0.074,0.005,0.004,0.001,0.001,0.029,0.007,0.001,0.001,0.066,0.155,0.001,0.001,0.001,0.001,0.001,0.037,0.001,0.0,0.002,0.001
1930-1939,0.001,0.0,0.011,0.0,0.001,0.048,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.075,0.0,0.0,0.085,0.179,0.002,0.001,0.206,0.001,0.0,0.001,0.0,0.0,0.029,0.001,0.001,0.063,0.008,0.005,0.0,0.002,0.028,0.01,0.0,0.0,0.063,0.127,0.001,0.0,0.001,0.001,0.001,0.033,0.001,0.0,0.002,0.003
1940-1949,0.003,0.002,0.021,0.002,0.004,0.04,0.003,0.002,0.003,0.001,0.003,0.002,0.003,0.054,0.001,0.001,0.087,0.17,0.008,0.002,0.211,0.003,0.001,0.002,0.002,0.002,0.024,0.003,0.002,0.042,0.005,0.004,0.004,0.003,0.019,0.026,0.005,0.003,0.045,0.122,0.003,0.001,0.004,0.003,0.003,0.031,0.002,0.004,0.002,0.01
1950-1959,0.001,0.002,0.03,0.003,0.002,0.038,0.004,0.001,0.002,0.001,0.003,0.004,0.002,0.067,0.002,0.001,0.072,0.14,0.009,0.001,0.2,0.004,0.001,0.002,0.003,0.004,0.033,0.004,0.004,0.038,0.006,0.004,0.004,0.001,0.03,0.03,0.003,0.002,0.062,0.109,0.004,0.0,0.004,0.002,0.005,0.033,0.002,0.005,0.002,0.013
1960-1969,0.009,0.009,0.023,0.005,0.018,0.036,0.014,0.002,0.011,0.0,0.012,0.005,0.008,0.06,0.008,0.001,0.043,0.091,0.016,0.005,0.114,0.013,0.001,0.013,0.008,0.01,0.027,0.013,0.016,0.035,0.008,0.003,0.02,0.006,0.023,0.038,0.019,0.02,0.049,0.067,0.01,0.002,0.016,0.013,0.014,0.026,0.006,0.017,0.003,0.014
1970-1979,0.015,0.016,0.014,0.01,0.033,0.016,0.028,0.002,0.022,0.002,0.028,0.008,0.015,0.028,0.018,0.001,0.02,0.045,0.031,0.007,0.057,0.024,0.002,0.023,0.018,0.023,0.011,0.028,0.033,0.017,0.009,0.002,0.04,0.012,0.014,0.026,0.035,0.034,0.022,0.039,0.02,0.006,0.035,0.022,0.026,0.01,0.01,0.034,0.001,0.011
1980-1989,0.016,0.02,0.008,0.011,0.032,0.011,0.033,0.002,0.024,0.002,0.034,0.007,0.019,0.018,0.021,0.0,0.021,0.028,0.033,0.008,0.037,0.032,0.001,0.025,0.019,0.028,0.008,0.036,0.038,0.012,0.011,0.001,0.045,0.011,0.009,0.014,0.046,0.035,0.014,0.024,0.024,0.006,0.042,0.029,0.034,0.007,0.012,0.043,0.001,0.006
1990-1999,0.015,0.023,0.004,0.011,0.037,0.006,0.038,0.001,0.029,0.002,0.04,0.007,0.018,0.015,0.024,0.0,0.008,0.013,0.035,0.009,0.024,0.034,0.002,0.023,0.024,0.035,0.006,0.036,0.052,0.004,0.013,0.001,0.06,0.01,0.006,0.007,0.059,0.035,0.009,0.014,0.027,0.006,0.046,0.033,0.037,0.005,0.013,0.041,0.001,0.004
2000-2009,0.011,0.024,0.001,0.012,0.04,0.005,0.04,0.001,0.034,0.001,0.037,0.005,0.022,0.009,0.028,0.001,0.005,0.011,0.035,0.008,0.014,0.029,0.001,0.026,0.025,0.034,0.004,0.039,0.057,0.004,0.01,0.001,0.063,0.01,0.005,0.003,0.072,0.038,0.007,0.007,0.027,0.006,0.05,0.034,0.038,0.002,0.014,0.045,0.0,0.002
2010-2019,0.013,0.025,0.001,0.013,0.035,0.002,0.044,0.001,0.032,0.002,0.04,0.007,0.018,0.004,0.023,0.0,0.005,0.006,0.038,0.01,0.026,0.031,0.001,0.025,0.025,0.036,0.004,0.041,0.061,0.002,0.011,0.001,0.052,0.01,0.002,0.004,0.081,0.036,0.004,0.005,0.029,0.006,0.051,0.032,0.039,0.001,0.016,0.047,0.0,0.001
2020-2029,0.031,0.031,0.0,0.024,0.024,0.0,0.063,0.0,0.047,0.0,0.024,0.008,0.024,0.0,0.016,0.0,0.0,0.016,0.031,0.008,0.024,0.024,0.0,0.008,0.0,0.047,0.0,0.031,0.071,0.008,0.024,0.0,0.024,0.0,0.0,0.0,0.134,0.047,0.0,0.0,0.047,0.0,0.024,0.055,0.039,0.008,0.016,0.024,0.0,0.0
Total,0.011,0.014,0.011,0.008,0.021,0.023,0.024,0.001,0.019,0.001,0.02,0.005,0.012,0.038,0.013,0.0,0.034,0.084,0.022,0.005,0.096,0.018,0.001,0.014,0.011,0.02,0.017,0.021,0.031,0.027,0.01,0.002,0.028,0.006,0.015,0.015,0.041,0.023,0.031,0.061,0.017,0.003,0.025,0.021,0.022,0.017,0.008,0.024,0.001,0.006
