,0,1,2,3,4,5,6,7,8,9
1920-1929,0.065,0.045,0.142,0.388,0.053,0.118,0.054,0.065,0.025,0.044
1930-1939,0.061,0.049,0.239,0.258,0.054,0.121,0.06,0.066,0.028,0.062
1940-1949,0.073,0.061,0.2,0.249,0.058,0.118,0.07,0.077,0.035,0.06
1950-1959,0.086,0.056,0.166,0.192,0.073,0.137,0.088,0.094,0.033,0.076
1960-1969,0.082,0.086,0.122,0.121,0.119,0.121,0.093,0.089,0.051,0.114
1970-1979,0.082,0.102,0.083,0.075,0.135,0.104,0.095,0.106,0.064,0.154
1980-1989,0.092,0.124,0.063,0.052,0.13,0.078,0.111,0.118,0.102,0.13
1990-1999,0.09,0.111,0.056,0.033,0.13,0.083,0.12,0.151,0.131,0.095
2000-2009,0.1,0.114,0.044,0.029,0.097,0.059,0.108,0.166,0.211,0.073
2010-2019,0.108,0.138,0.044,0.031,0.078,0.048,0.091,0.159,0.228,0.075
2020-2029,0.02,0.095,0.036,0.036,0.064,0.134,0.07,0.12,0.372,0.053
Total,0.078,0.089,0.109,0.133,0.09,0.102,0.087,0.11,0.116,0.085
