,0,1,2,3,4,5,6,7,8,9
1920-1929,451,539,459,666,1204,252,664,3954,1447,546
1930-1939,349,303,275,343,679,159,372,1446,1341,339
1940-1949,1383,1341,1411,1677,2727,798,1776,5762,4614,1629
1950-1959,3729,3580,2746,4228,6772,1642,4629,9478,8177,4358
1960-1969,7014,7297,5261,5042,7445,3151,5489,7430,7493,5727
1970-1979,9832,8593,6495,5261,6656,4066,6782,4812,5294,6092
1980-1989,7100,7097,6769,5036,4263,5557,6440,2834,3441,6065
1990-1999,3609,4930,4217,3404,3135,4958,5707,1252,2105,4538
2000-2009,3198,4225,4959,4340,2552,9197,7251,1251,1931,4704
2010-2019,1417,1469,2592,2029,912,4283,2994,574,826,1719
2020-2029,19,23,34,7,48,133,43,13,13,25
Total,38101,39397,35218,32033,36393,34196,42147,38806,36682,35742
