,0,1,2,3,4,5,6,7,8,9
1920-1929,0.075,0.045,0.162,0.355,0.047,0.128,0.052,0.066,0.028,0.042
1930-1939,0.067,0.045,0.231,0.271,0.048,0.133,0.055,0.076,0.028,0.045
1940-1949,0.076,0.057,0.225,0.241,0.051,0.121,0.069,0.07,0.032,0.057
1950-1959,0.074,0.054,0.182,0.171,0.086,0.133,0.088,0.092,0.033,0.086
1960-1969,0.076,0.081,0.126,0.111,0.128,0.113,0.093,0.102,0.05,0.119
1970-1979,0.083,0.11,0.086,0.063,0.129,0.099,0.105,0.104,0.067,0.153
1980-1989,0.094,0.114,0.077,0.053,0.136,0.073,0.106,0.125,0.092,0.13
1990-1999,0.098,0.108,0.049,0.037,0.103,0.087,0.123,0.173,0.123,0.101
2000-2009,0.089,0.129,0.036,0.03,0.09,0.058,0.102,0.188,0.204,0.071
2010-2019,0.091,0.124,0.036,0.027,0.07,0.049,0.097,0.168,0.266,0.071
2020-2029,0.114,0.054,0.043,0.027,0.092,0.033,0.12,0.054,0.457,0.005
Total,0.085,0.084,0.114,0.126,0.089,0.093,0.092,0.111,0.125,0.08
