,0,1,2,3,4,5,6,7,8,9
1920-1929,1747,1964,1910,3155,5362,1189,2790,14901,6810,2183
1930-1939,2681,2840,2670,3981,7903,1666,4503,16055,13679,3238
1940-1949,3365,3039,3373,4496,7139,1917,4134,14243,13297,4084
1950-1959,3706,3685,2334,3181,5728,1427,3954,7327,7815,3776
1960-1969,8916,9566,6071,5685,8463,3705,7604,8316,9392,6968
1970-1979,13798,11593,9959,7511,8914,6063,9362,5693,7762,9496
1980-1989,7885,8257,6940,5715,4457,5578,7552,3193,4674,6402
1990-1999,7206,7391,7701,7047,6226,8786,12368,2628,3488,8788
2000-2009,5733,7284,10455,7221,4723,16487,15210,2445,2932,8269
2010-2019,4450,4426,7814,5741,3111,16783,10594,1722,2293,6129
2020-2029,1,17,10,21,6,84,10,5,8,22
Total,59488,60062,59237,53754,62032,63685,78081,76528,72150,59355
