,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.0,0.0
1930-1939,0.0,0.167,0.0,0.333,0.0,0.0,0.333,0.167,0.0,0.0
1940-1949,0.128,0.077,0.0,0.308,0.0,0.051,0.282,0.077,0.051,0.026
1950-1959,0.074,0.162,0.0,0.191,0.059,0.059,0.279,0.103,0.0,0.074
1960-1969,0.084,0.102,0.0,0.089,0.115,0.008,0.211,0.089,0.102,0.201
1970-1979,0.072,0.17,0.001,0.025,0.112,0.009,0.134,0.15,0.124,0.202
1980-1989,0.083,0.171,0.0,0.008,0.118,0.002,0.131,0.151,0.147,0.19
1990-1999,0.074,0.163,0.0,0.009,0.086,0.002,0.148,0.163,0.219,0.136
2000-2009,0.081,0.151,0.001,0.001,0.079,0.0,0.101,0.195,0.304,0.088
2010-2019,0.091,0.187,0.0,0.0,0.064,0.002,0.097,0.147,0.328,0.085
2020-2029,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1
Total,0.081,0.159,0.0,0.11,0.08,0.012,0.156,0.158,0.143,0.1
