,0,1,2,3,4,5,6,7,8,9
1920-1929,0.25,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0
1930-1939,0.333,0.0,0.0,0.167,0.167,0.0,0.0,0.333,0.0,0.0
1940-1949,0.308,0.0,0.051,0.077,0.077,0.0,0.026,0.282,0.051,0.128
1950-1959,0.191,0.0,0.0,0.103,0.162,0.059,0.074,0.279,0.059,0.074
1960-1969,0.089,0.0,0.102,0.089,0.102,0.115,0.201,0.211,0.008,0.084
1970-1979,0.025,0.001,0.124,0.15,0.17,0.112,0.202,0.134,0.009,0.072
1980-1989,0.008,0.0,0.147,0.151,0.171,0.118,0.19,0.131,0.002,0.083
1990-1999,0.009,0.0,0.219,0.163,0.163,0.086,0.136,0.148,0.002,0.074
2000-2009,0.001,0.001,0.304,0.195,0.151,0.079,0.088,0.101,0.0,0.081
2010-2019,0.0,0.0,0.328,0.147,0.187,0.064,0.085,0.097,0.002,0.091
2020-2029,0.0,0.0,0.3,0.0,0.4,0.0,0.1,0.0,0.0,0.2
Total,0.022,0.0,0.193,0.153,0.162,0.097,0.153,0.136,0.005,0.08
