,0,1,2,3,4,5,6,7,8,9
1920-1929,0.261,0.0,0.0,0.13,0.087,0.0,0.174,0.13,0.13,0.087
1930-1939,0.25,0.0,0.0,0.4,0.05,0.0,0.15,0.05,0.0,0.1
1940-1949,0.11,0.147,0.0,0.258,0.067,0.031,0.178,0.086,0.049,0.074
1950-1959,0.093,0.093,0.007,0.18,0.067,0.04,0.26,0.08,0.067,0.113
1960-1969,0.092,0.123,0.0,0.098,0.111,0.019,0.188,0.109,0.089,0.17
1970-1979,0.081,0.152,0.0,0.019,0.119,0.007,0.15,0.127,0.114,0.23
1980-1989,0.073,0.161,0.0,0.007,0.124,0.004,0.147,0.156,0.154,0.173
1990-1999,0.076,0.17,0.0,0.001,0.114,0.003,0.123,0.18,0.202,0.132
2000-2009,0.075,0.159,0.0,0.005,0.089,0.0,0.094,0.193,0.288,0.098
2010-2019,0.08,0.137,0.0,0.001,0.068,0.001,0.097,0.17,0.36,0.086
2020-2029,0.037,0.148,0.0,0.0,0.037,0.0,0.037,0.074,0.556,0.111
Total,0.112,0.117,0.001,0.1,0.085,0.01,0.145,0.123,0.183,0.125
