,0,1,2,3,4,5,6,7,8,9
1920-1929,0.739,0.08,0.0,0.0,0.0,0.046,0.0,0.0,0.122,0.013
1930-1939,0.613,0.161,0.0,0.0,0.0,0.022,0.0,0.0,0.172,0.032
1940-1949,0.692,0.081,0.0,0.0,0.003,0.056,0.003,0.0,0.162,0.003
1950-1959,0.593,0.1,0.0,0.0,0.0,0.078,0.003,0.001,0.214,0.011
1960-1969,0.505,0.088,0.0,0.0,0.0,0.15,0.0,0.0,0.248,0.009
1970-1979,0.452,0.072,0.0,0.0,0.0,0.193,0.0,0.0,0.259,0.023
1980-1989,0.454,0.077,0.0,0.0,0.0,0.18,0.0,0.0,0.268,0.021
1990-1999,0.317,0.087,0.0,0.0,0.0,0.212,0.019,0.0,0.346,0.019
2000-2009,0.34,0.113,0.0,0.0,0.0,0.283,0.019,0.0,0.226,0.019
2010-2019,0.417,0.083,0.0,0.0,0.0,0.167,0.0,0.0,0.333,0.0
2020-2029,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.667,0.0
Total,0.553,0.09,0.0,0.0,0.0,0.119,0.002,0.0,0.223,0.013
