,0,1,2,3,4,5,6,7,8,9
1920-1929,0.69,0.093,0.0,0.0,0.001,0.042,0.0,0.001,0.16,0.013
1930-1939,0.624,0.098,0.0,0.002,0.0,0.05,0.001,0.001,0.207,0.016
1940-1949,0.661,0.09,0.0,0.0,0.0,0.051,0.0,0.001,0.186,0.01
1950-1959,0.527,0.116,0.0,0.0,0.0,0.113,0.002,0.0,0.234,0.008
1960-1969,0.432,0.106,0.0,0.0,0.0,0.19,0.0,0.001,0.255,0.015
1970-1979,0.403,0.078,0.0,0.0,0.002,0.185,0.002,0.002,0.306,0.021
1980-1989,0.423,0.099,0.005,0.0,0.0,0.211,0.005,0.0,0.239,0.019
1990-1999,0.397,0.068,0.0,0.0,0.0,0.158,0.0,0.0,0.363,0.014
2000-2009,0.463,0.097,0.0,0.0,0.015,0.179,0.007,0.0,0.209,0.03
2010-2019,0.531,0.061,0.0,0.0,0.0,0.143,0.0,0.0,0.245,0.02
2020-2029,,,,,,,,,,
Total,0.561,0.097,0.0,0.0,0.001,0.104,0.001,0.001,0.221,0.014
