,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.0,0.348,0.471,0.045,0.123,0.0,0.013,0.0,0.0
1930-1939,0.013,0.003,0.318,0.518,0.033,0.102,0.007,0.003,0.0,0.003
1940-1949,0.017,0.006,0.418,0.389,0.034,0.1,0.023,0.006,0.004,0.002
1950-1959,0.018,0.022,0.338,0.358,0.084,0.116,0.04,0.014,0.0,0.01
1960-1969,0.044,0.039,0.223,0.229,0.115,0.12,0.081,0.034,0.039,0.078
1970-1979,0.053,0.119,0.102,0.114,0.112,0.07,0.095,0.106,0.088,0.142
1980-1989,0.068,0.139,0.075,0.063,0.124,0.031,0.106,0.122,0.119,0.153
1990-1999,0.068,0.145,0.029,0.044,0.093,0.027,0.132,0.145,0.195,0.121
2000-2009,0.075,0.139,0.019,0.025,0.086,0.023,0.093,0.181,0.28,0.081
2010-2019,0.086,0.178,0.029,0.015,0.062,0.006,0.092,0.139,0.312,0.081
2020-2029,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1
Total,0.058,0.108,0.173,0.202,0.072,0.065,0.061,0.069,0.122,0.07
