,0,1,2,3,4,5,6,7,8,9
1920-1929,480,232,4,3,0,31,2,4,123,15
1930-1939,547,449,0,1,0,36,3,3,158,15
1940-1949,440,309,8,14,24,42,13,29,120,23
1950-1959,346,429,10,13,14,69,17,40,171,24
1960-1969,397,368,57,70,79,175,109,120,179,65
1970-1979,206,169,153,172,204,229,311,201,144,115
1980-1989,112,178,219,221,228,222,247,208,74,105
1990-1999,52,54,315,281,264,215,205,191,35,121
2000-2009,40,38,383,257,212,132,130,126,19,103
2010-2019,18,34,418,198,159,90,100,113,15,94
2020-2029,0,0,15,2,4,1,3,1,0,1
Total,2638,2260,1582,1232,1188,1242,1140,1036,1038,681
