,0,1,2,3,4,5,6,7,8,9
1920-1929,0.537,0.26,0.004,0.003,0.0,0.035,0.002,0.004,0.138,0.017
1930-1939,0.451,0.37,0.0,0.001,0.0,0.03,0.002,0.002,0.13,0.012
1940-1949,0.431,0.302,0.008,0.014,0.023,0.041,0.013,0.028,0.117,0.023
1950-1959,0.305,0.379,0.009,0.011,0.012,0.061,0.015,0.035,0.151,0.021
1960-1969,0.245,0.227,0.035,0.043,0.049,0.108,0.067,0.074,0.111,0.04
1970-1979,0.108,0.089,0.08,0.09,0.107,0.12,0.163,0.106,0.076,0.06
1980-1989,0.062,0.098,0.121,0.122,0.126,0.122,0.136,0.115,0.041,0.058
1990-1999,0.03,0.031,0.182,0.162,0.152,0.124,0.118,0.11,0.02,0.07
2000-2009,0.028,0.026,0.266,0.178,0.147,0.092,0.09,0.088,0.013,0.072
2010-2019,0.015,0.027,0.337,0.16,0.128,0.073,0.081,0.091,0.012,0.076
2020-2029,0.0,0.0,0.556,0.074,0.148,0.037,0.111,0.037,0.0,0.037
Total,0.188,0.161,0.113,0.088,0.085,0.088,0.081,0.074,0.074,0.049
