,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,
1960-1969,0.061,0.027,0.117,0.012,0.071,0.024,0.051,0.083,0.027,0.027,0.056,0.018,0.08,0.031,0.035,0.047,0.108,0.039,0.057,0.028
1970-1979,0.033,0.048,0.122,0.017,0.091,0.024,0.076,0.081,0.019,0.03,0.036,0.011,0.083,0.03,0.054,0.035,0.082,0.051,0.042,0.033
1980-1989,0.058,0.044,0.087,0.029,0.111,0.017,0.076,0.088,0.012,0.041,0.033,0.021,0.067,0.046,0.052,0.026,0.084,0.052,0.022,0.036
1990-1999,0.029,0.046,0.042,0.026,0.169,0.015,0.072,0.088,0.013,0.055,0.027,0.025,0.057,0.046,0.062,0.019,0.076,0.069,0.015,0.046
2000-2009,0.023,0.056,0.028,0.041,0.217,0.011,0.068,0.065,0.009,0.108,0.016,0.024,0.054,0.034,0.056,0.017,0.05,0.032,0.015,0.077
2010-2019,0.017,0.054,0.023,0.056,0.243,0.009,0.058,0.048,0.01,0.11,0.016,0.022,0.049,0.042,0.064,0.013,0.046,0.023,0.012,0.083
2020-2029,0.011,0.032,0.029,0.114,0.082,0.021,0.066,0.074,0.0,0.254,0.0,0.003,0.04,0.0,0.003,0.026,0.071,0.058,0.0,0.116
Total,0.033,0.044,0.064,0.042,0.141,0.017,0.067,0.075,0.013,0.089,0.026,0.018,0.062,0.033,0.047,0.026,0.074,0.047,0.023,0.06
