,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1930-1939,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
1940-1949,4,6,0,0,7,1,2,1,0,8,1,0,1,0,3,1,0,4,0
1950-1959,2,6,0,1,5,3,2,7,0,15,6,4,3,1,0,3,1,7,2
1960-1969,33,12,0,3,12,18,34,73,0,47,28,25,15,8,12,18,11,23,11
1970-1979,136,8,0,0,14,50,105,161,0,73,72,82,64,39,39,47,30,34,43
1980-1989,223,3,0,0,3,79,138,148,0,105,75,82,75,37,50,69,55,37,29
1990-1999,188,1,0,0,5,81,98,48,0,62,45,51,69,15,56,38,39,26,31
2000-2009,241,1,0,0,0,93,46,20,0,31,28,48,42,11,56,49,51,24,23
2010-2019,136,0,0,0,0,77,34,18,0,27,23,39,20,10,37,49,22,11,15
2020-2029,2,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,2,0
Total,965,38,0,6,46,403,462,477,0,369,279,331,291,121,255,275,209,169,154
