,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1920-1929,0.111,0.0,0.0,0.0,0.0,0.0,0.333,0.222,0.0,0.111,0.111,0.0,0.0,0.0,0.0,0.0,0.111
1930-1939,0.143,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.143
1940-1949,0.072,0.093,0.0,0.041,0.052,0.031,0.144,0.103,0.0,0.144,0.113,0.031,0.031,0.01,0.041,0.082,0.01
1950-1959,0.041,0.117,0.0,0.097,0.133,0.026,0.077,0.117,0.0,0.148,0.071,0.026,0.02,0.02,0.015,0.087,0.005
1960-1969,0.103,0.027,0.0,0.018,0.042,0.029,0.087,0.178,0.0,0.132,0.105,0.074,0.051,0.035,0.024,0.077,0.018
1970-1979,0.158,0.014,0.0,0.003,0.011,0.052,0.123,0.169,0.0,0.077,0.102,0.071,0.046,0.046,0.044,0.058,0.027
1980-1989,0.21,0.003,0.0,0.0,0.004,0.073,0.123,0.1,0.0,0.068,0.07,0.093,0.065,0.032,0.062,0.049,0.049
1990-1999,0.256,0.001,0.0,0.0,0.004,0.104,0.093,0.046,0.0,0.079,0.056,0.12,0.068,0.032,0.045,0.059,0.036
2000-2009,0.308,0.0,0.0,0.0,0.0,0.155,0.057,0.031,0.0,0.059,0.045,0.084,0.052,0.024,0.071,0.061,0.054
2010-2019,0.294,0.0,0.0,0.0,0.002,0.145,0.079,0.019,0.0,0.054,0.035,0.105,0.058,0.007,0.1,0.051,0.051
2020-2029,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.167,0.0,0.0
Total,0.169,0.062,0.0,0.014,0.022,0.086,0.102,0.09,0.0,0.092,0.077,0.085,0.036,0.019,0.052,0.048,0.046
