,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,1,0,0,0,0,0,3,2,0,1,1,0,0,0,0,0,1,0,0
1930-1939,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
1940-1949,7,9,0,4,5,3,14,10,0,14,11,3,3,1,4,8,1,4,1
1950-1959,8,23,0,19,26,5,15,23,0,29,14,5,4,4,3,17,1,19,0
1960-1969,64,17,0,11,26,18,54,111,0,82,65,46,32,22,15,48,11,47,16
1970-1979,174,15,0,3,12,57,136,186,0,85,113,78,51,51,48,64,30,30,34
1980-1989,233,3,0,0,4,81,137,111,0,76,78,103,72,36,69,54,54,35,36
1990-1999,200,1,0,0,3,81,73,36,0,62,44,94,53,25,35,46,28,32,41
2000-2009,297,0,0,0,0,149,55,30,0,57,43,81,50,23,68,59,52,36,45
2010-2019,126,0,0,0,1,62,34,8,0,23,15,45,25,3,43,22,22,14,17
2020-2029,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0
Total,1112,71,0,37,77,458,521,517,0,430,385,457,290,165,286,318,201,217,190
