,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,0.111,0.0,0.0,0.0,0.0,0.0,0.333,0.222,0.0,0.111,0.111,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0
1930-1939,0.143,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0
1940-1949,0.069,0.088,0.0,0.039,0.049,0.029,0.137,0.098,0.0,0.137,0.108,0.029,0.029,0.01,0.039,0.078,0.01,0.039,0.01
1950-1959,0.037,0.107,0.0,0.088,0.121,0.023,0.07,0.107,0.0,0.135,0.065,0.023,0.019,0.019,0.014,0.079,0.005,0.088,0.0
1960-1969,0.093,0.025,0.0,0.016,0.038,0.026,0.079,0.162,0.0,0.12,0.095,0.067,0.047,0.032,0.022,0.07,0.016,0.069,0.023
1970-1979,0.149,0.013,0.0,0.003,0.01,0.049,0.117,0.159,0.0,0.073,0.097,0.067,0.044,0.044,0.041,0.055,0.026,0.026,0.029
1980-1989,0.197,0.003,0.0,0.0,0.003,0.069,0.116,0.094,0.0,0.064,0.066,0.087,0.061,0.03,0.058,0.046,0.046,0.03,0.03
1990-1999,0.234,0.001,0.0,0.0,0.004,0.095,0.085,0.042,0.0,0.073,0.052,0.11,0.062,0.029,0.041,0.054,0.033,0.037,0.048
2000-2009,0.284,0.0,0.0,0.0,0.0,0.143,0.053,0.029,0.0,0.055,0.041,0.078,0.048,0.022,0.065,0.056,0.05,0.034,0.043
2010-2019,0.274,0.0,0.0,0.0,0.002,0.135,0.074,0.017,0.0,0.05,0.033,0.098,0.054,0.007,0.093,0.048,0.048,0.03,0.037
2020-2029,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.167,0.0,0.0,0.0,0.0
Total,0.194,0.012,0.0,0.006,0.013,0.08,0.091,0.09,0.0,0.075,0.067,0.08,0.051,0.029,0.05,0.055,0.035,0.038,0.033
