,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1920-1929,0.19,0.095,0.0,0.0,0.048,0.0,0.048,0.143,0.0,0.143,0.048,0.048,0.0,0.0,0.0,0.238,0.0
1930-1939,0.05,0.1,0.0,0.0,0.25,0.0,0.05,0.05,0.0,0.3,0.15,0.0,0.0,0.0,0.0,0.05,0.0
1940-1949,0.081,0.122,0.0,0.047,0.101,0.047,0.115,0.068,0.0,0.162,0.088,0.047,0.034,0.0,0.027,0.054,0.007
1950-1959,0.083,0.098,0.0,0.023,0.076,0.045,0.076,0.114,0.0,0.174,0.091,0.045,0.015,0.03,0.045,0.068,0.015
1960-1969,0.123,0.054,0.0,0.018,0.028,0.037,0.1,0.146,0.0,0.098,0.1,0.083,0.047,0.04,0.016,0.09,0.019
1970-1979,0.173,0.012,0.0,0.003,0.018,0.049,0.119,0.149,0.0,0.096,0.075,0.091,0.051,0.039,0.034,0.053,0.039
1980-1989,0.2,0.001,0.0,0.002,0.008,0.056,0.156,0.098,0.0,0.089,0.056,0.081,0.064,0.047,0.042,0.053,0.047
1990-1999,0.26,0.001,0.0,0.0,0.001,0.117,0.106,0.052,0.0,0.066,0.071,0.066,0.075,0.023,0.066,0.053,0.044
2000-2009,0.315,0.0,0.0,0.001,0.001,0.138,0.074,0.045,0.0,0.053,0.037,0.069,0.047,0.017,0.069,0.056,0.076
2010-2019,0.297,0.0,0.0,0.0,0.001,0.194,0.078,0.032,0.0,0.048,0.038,0.072,0.028,0.008,0.074,0.066,0.062
2020-2029,0.385,0.0,0.0,0.0,0.0,0.231,0.038,0.0,0.0,0.077,0.0,0.038,0.0,0.0,0.115,0.0,0.115
Total,0.196,0.044,0.0,0.009,0.048,0.083,0.087,0.082,0.0,0.119,0.069,0.058,0.033,0.019,0.044,0.071,0.039
