,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,4,2,0,0,1,0,1,3,0,3,1,1,0,0,0,5,0,2,0
1930-1939,1,2,0,0,5,0,1,1,0,6,3,0,0,0,0,1,0,0,0
1940-1949,12,18,0,7,15,7,17,10,0,24,13,7,5,0,4,8,1,14,1
1950-1959,11,13,0,3,10,6,10,15,0,23,12,6,2,4,6,9,2,18,0
1960-1969,70,31,0,10,16,21,57,83,0,56,57,47,27,23,9,51,11,41,30
1970-1979,210,15,0,4,22,59,144,181,0,117,91,110,62,47,41,64,47,67,61
1980-1989,266,1,0,3,10,75,208,131,0,119,74,108,85,63,56,71,62,38,48
1990-1999,377,1,0,0,1,169,153,76,0,96,103,95,108,33,96,77,64,39,68
2000-2009,396,0,0,1,1,174,93,57,0,67,47,87,59,22,87,71,96,34,39
2010-2019,326,0,0,0,1,213,86,35,0,53,42,79,31,9,81,72,68,26,40
2020-2029,10,0,0,0,0,6,1,0,0,2,0,1,0,0,3,0,3,1,0
Total,1683,83,0,28,82,730,771,592,0,566,443,541,379,201,383,429,354,280,287
