,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930-1939,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940-1949,0.0,0.0,0.737,0.0,0.053,0.0,0.0,0.0,0.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950-1959,0.0,0.0,0.5,0.0,0.139,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0
1960-1969,0.0,0.0,0.395,0.0,0.092,0.0,0.0,0.0,0.421,0.0,0.0,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0
1970-1979,0.0,0.0,0.349,0.0,0.06,0.0,0.0,0.0,0.518,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.012
1980-1989,0.0,0.0,0.23,0.0,0.015,0.0,0.0,0.0,0.711,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.015
1990-1999,0.0,0.0,0.362,0.0,0.021,0.0,0.0,0.0,0.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-2009,0.0,0.0,0.318,0.0,0.023,0.0,0.0,0.0,0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-2019,0.0,0.0,0.312,0.0,0.078,0.0,0.0,0.0,0.519,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0
2020-2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.0,0.0,0.366,0.0,0.057,0.0,0.0,0.0,0.532,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.005
