,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,0,37,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,60,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1
1940-1949,0,0,116,0,5,0,0,0,48,0,0,0,0,6,0,0,0,0,0,1
1950-1959,0,0,61,0,9,0,0,0,73,0,0,0,0,5,0,0,0,0,0,1
1960-1969,0,0,61,0,9,0,0,0,107,0,0,0,0,17,0,0,0,0,0,1
1970-1979,0,0,18,0,5,0,0,0,92,0,0,0,0,7,0,0,0,0,0,0
1980-1989,0,0,11,0,0,0,0,0,81,0,0,0,0,2,0,0,0,0,0,0
1990-1999,0,0,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
2000-2009,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
2010-2019,0,0,6,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0
2020-2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,384,0,29,0,0,0,454,0,0,0,0,38,0,0,0,0,0,4
