,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1920-1929,0.011,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.896,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.022
1930-1939,0.005,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.849,0.0,0.129,0.0,0.0,0.0,0.0,0.0,0.005
1940-1949,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.669,0.0,0.282,0.0,0.0,0.0,0.0,0.0,0.03
1950-1959,0.023,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.465,0.0,0.456,0.0,0.0,0.0,0.0,0.0,0.048
1960-1969,0.062,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.336,0.0,0.534,0.0,0.0,0.0,0.0,0.0,0.059
1970-1979,0.054,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.295,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.023
1980-1989,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.039
1990-1999,0.071,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.19,0.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0
2000-2009,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242,0.0,0.636,0.0,0.0,0.0,0.0,0.0,0.091
2010-2019,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.636,0.0,0.0,0.0,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,
Total,0.034,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.44,0.0,0.487,0.0,0.0,0.0,0.0,0.0,0.032
