,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.0,0.896,0.0,0.022,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.005
1930-1939,0.0,0.0,0.849,0.0,0.005,0.0,0.0,0.0,0.129,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.011
1940-1949,0.0,0.0,0.669,0.0,0.03,0.0,0.0,0.0,0.282,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0
1950-1959,0.0,0.0,0.465,0.0,0.048,0.0,0.0,0.0,0.456,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.008
1960-1969,0.0,0.0,0.336,0.0,0.059,0.0,0.0,0.0,0.534,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.01
1970-1979,0.0,0.0,0.295,0.0,0.023,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.008
1980-1989,0.0,0.0,0.129,0.0,0.039,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0
1990-1999,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.714,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.024
2000-2009,0.0,0.0,0.242,0.0,0.091,0.0,0.0,0.0,0.636,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2010-2019,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.636,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,
Total,0.0,0.0,0.538,0.0,0.033,0.0,0.0,0.0,0.394,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.007
