,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1920-1929,0.0,0.51,0.062,0.256,0.119,0.0,0.001,0.003,0.0,0.001,0.022,0.0,0.001,0.018,0.001,0.004
1930-1939,0.0,0.456,0.068,0.274,0.133,0.0,0.0,0.006,0.0,0.004,0.021,0.0,0.004,0.026,0.002,0.005
1940-1949,0.0,0.465,0.052,0.254,0.159,0.0,0.0,0.005,0.0,0.003,0.028,0.0,0.002,0.031,0.0,0.0
1950-1959,0.0,0.322,0.043,0.27,0.219,0.0,0.0,0.018,0.0,0.012,0.055,0.0,0.005,0.05,0.0,0.007
1960-1969,0.0,0.302,0.038,0.247,0.203,0.0,0.0,0.021,0.0,0.006,0.043,0.002,0.015,0.119,0.003,0.002
1970-1979,0.0,0.269,0.029,0.262,0.201,0.0,0.0,0.034,0.0,0.015,0.044,0.002,0.024,0.116,0.002,0.002
1980-1989,0.0,0.319,0.017,0.183,0.21,0.0,0.0,0.017,0.0,0.013,0.052,0.0,0.052,0.127,0.0,0.009
1990-1999,0.0,0.195,0.039,0.125,0.227,0.0,0.0,0.008,0.0,0.023,0.094,0.0,0.062,0.188,0.031,0.008
2000-2009,0.0,0.247,0.0,0.137,0.151,0.0,0.0,0.014,0.0,0.055,0.11,0.014,0.082,0.151,0.027,0.014
2010-2019,0.0,0.286,0.048,0.095,0.19,0.0,0.0,0.0,0.0,0.048,0.071,0.0,0.048,0.095,0.095,0.024
2020-2029,,,,,,,,,,,,,,,,
Total,0.0,0.337,0.04,0.21,0.181,0.0,0.0,0.013,0.0,0.018,0.054,0.002,0.03,0.092,0.016,0.007
