,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,344,42,173,80,0,1,2,0,1,15,0,1,12,1,3,0,0,0,13
1930-1939,0,366,55,220,107,0,0,5,0,3,17,0,3,21,2,4,0,0,0,25
1940-1949,0,269,30,147,92,0,0,3,0,2,16,0,1,18,0,0,0,0,0,15
1950-1959,0,194,26,163,132,0,0,11,0,7,33,0,3,30,0,4,0,0,0,27
1960-1969,0,198,25,162,133,0,0,14,0,4,28,1,10,78,2,1,0,0,0,16
1970-1979,0,111,12,108,83,0,0,14,0,6,18,1,10,48,1,1,0,0,0,20
1980-1989,0,73,4,42,48,0,0,4,0,3,12,0,12,29,0,2,0,0,0,12
1990-1999,0,25,5,16,29,0,0,1,0,3,12,0,8,24,4,1,0,0,0,7
2000-2009,0,18,0,10,11,0,0,1,0,4,8,1,6,11,2,1,0,0,0,3
2010-2019,0,12,2,4,8,0,0,0,0,2,3,0,2,4,4,1,0,0,0,2
2020-2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,1610,201,1045,723,0,1,55,0,35,162,3,56,275,16,18,0,0,0,140
