,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,1811,235,948,467,0,1,9,1,15,86,0,4,67,1,15,0,0,0,107
1930-1939,0,1480,256,918,444,0,0,20,0,10,75,0,13,77,6,19,0,0,0,106
1940-1949,0,1502,149,857,548,0,0,19,0,14,92,2,15,88,5,7,0,0,0,96
1950-1959,0,1106,145,804,646,1,0,32,0,27,112,1,25,191,3,11,0,0,0,124
1960-1969,0,1059,140,942,796,0,0,78,0,27,182,3,57,472,6,16,0,0,0,137
1970-1979,0,578,56,559,485,0,0,49,1,24,132,3,84,238,13,19,0,0,0,89
1980-1989,0,346,32,255,266,0,1,35,0,23,88,1,67,183,26,10,0,0,0,67
1990-1999,0,174,21,140,185,2,0,10,0,12,55,3,35,133,23,7,0,0,0,33
2000-2009,0,148,21,92,119,0,0,6,0,6,53,4,36,83,19,5,0,0,0,23
2010-2019,0,73,13,36,42,0,0,4,0,4,19,2,9,25,12,3,0,0,0,12
2020-2029,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Total,0,8278,1068,5551,4001,3,2,262,2,162,894,19,347,1557,114,112,0,0,0,794
