,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.013,0.0,0.0,0.0,0.0,0.019,0.006,0.0,0.258,0.0,0.039,0.0,0.013,0.006,0.0,0.303,0.142,0.006,0.194,0.0
1930-1939,0.016,0.01,0.007,0.0,0.0,0.016,0.007,0.003,0.233,0.0,0.056,0.0,0.016,0.0,0.0,0.334,0.092,0.007,0.2,0.003
1940-1949,0.03,0.006,0.006,0.0,0.008,0.03,0.017,0.004,0.261,0.002,0.102,0.0,0.019,0.008,0.0,0.231,0.125,0.002,0.14,0.006
1950-1959,0.054,0.008,0.022,0.002,0.004,0.024,0.034,0.004,0.142,0.006,0.146,0.004,0.028,0.014,0.008,0.198,0.154,0.008,0.14,0.0
1960-1969,0.071,0.021,0.081,0.011,0.033,0.016,0.05,0.034,0.073,0.018,0.107,0.011,0.053,0.023,0.025,0.134,0.098,0.019,0.111,0.013
1970-1979,0.054,0.033,0.119,0.021,0.096,0.007,0.053,0.074,0.017,0.035,0.065,0.03,0.065,0.024,0.058,0.059,0.058,0.052,0.051,0.028
1980-1989,0.05,0.046,0.102,0.037,0.149,0.007,0.071,0.092,0.009,0.053,0.054,0.019,0.06,0.025,0.055,0.031,0.024,0.054,0.021,0.04
1990-1999,0.029,0.041,0.051,0.041,0.196,0.002,0.067,0.102,0.01,0.085,0.014,0.032,0.052,0.027,0.054,0.022,0.02,0.074,0.019,0.061
2000-2009,0.023,0.06,0.025,0.061,0.29,0.001,0.037,0.055,0.01,0.112,0.01,0.028,0.037,0.029,0.058,0.019,0.01,0.053,0.011,0.07
2010-2019,0.022,0.09,0.033,0.04,0.25,0.0,0.05,0.062,0.011,0.141,0.017,0.028,0.044,0.02,0.072,0.013,0.002,0.037,0.002,0.068
2020-2029,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2
Total,0.033,0.038,0.041,0.019,0.112,0.011,0.036,0.057,0.093,0.05,0.055,0.014,0.035,0.034,0.03,0.122,0.066,0.028,0.081,0.044
