,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,77,35,1,1,1,36,2,4,73,69,98,29,0,4,17,9,17,6,1,327,13,6,1,12,33,4,10,7,7,12,13,38,19,43,3,5,36,19,46,19,3,5,40,34,99,23,160,14,2,4
1930-1939,76,29,3,12,2,88,0,27,57,43,130,19,1,1,1,43,10,36,15,281,33,15,0,50,80,16,6,3,13,1,44,15,13,8,1,11,39,19,10,40,20,5,7,6,81,4,197,1,10,13
1940-1949,258,84,12,25,9,191,5,77,89,150,116,49,8,11,3,53,275,131,17,185,176,19,30,126,218,46,13,16,33,24,39,75,111,11,22,26,126,108,454,66,35,63,23,26,324,59,579,12,23,88
1950-1959,766,212,58,54,91,632,30,478,161,293,361,389,111,46,80,174,193,311,55,323,481,115,49,309,569,174,117,153,273,77,337,286,266,83,58,78,284,232,262,278,115,109,146,81,951,52,1147,34,97,245
1960-1969,1299,697,375,125,211,1352,106,1602,348,733,588,472,327,210,124,566,947,762,108,249,1473,444,210,466,1451,961,271,296,633,414,590,703,884,150,152,247,1135,575,599,660,322,288,808,271,1681,608,1631,172,234,776
1970-1979,1279,1479,1021,220,888,2148,212,2853,277,1635,707,1010,872,775,366,968,2278,1263,526,330,2627,895,914,681,3258,1592,567,999,1478,638,822,1242,1870,1110,457,703,2967,1546,700,1572,648,699,1447,522,2939,1160,1425,394,336,1727
1980-1989,1380,2975,1453,216,2359,2604,111,2537,456,2057,869,1658,903,1237,445,2436,2765,1917,996,283,5124,1217,1990,838,5566,2756,653,2100,1146,1061,1656,2540,2566,1537,984,1479,4564,3709,1102,3261,1008,1333,2459,458,5265,2171,1677,1342,655,3103
1990-1999,1475,4397,2966,171,2655,4180,173,1834,393,2714,1039,2108,1156,2798,450,4278,2949,3148,2036,354,7165,1475,3229,1130,10395,3887,911,5320,2258,866,1483,3421,5001,1778,1922,3269,5702,8689,1637,5359,1525,1791,3346,408,7047,2155,1755,4090,714,4043
2000-2009,1196,4698,2657,138,4735,3163,157,1315,275,2028,948,2059,975,821,600,3167,2127,3004,4825,301,7318,918,2921,832,11339,3355,917,8923,1711,876,1493,3307,4889,2882,2736,4151,4478,14307,1174,5567,1819,1547,2275,320,6870,2083,1615,5129,550,4056
2010-2019,814,2681,1477,138,3357,1673,107,674,208,1286,464,1648,777,262,327,2475,1343,2101,4339,277,4649,588,1505,830,6327,1942,576,7319,948,516,1051,2195,3352,2186,2566,3758,2595,10946,673,3811,1208,868,856,204,4112,1289,988,3838,383,2973
2020-2029,0,33,21,0,33,5,0,15,0,7,2,25,1,0,0,80,9,21,32,0,38,2,1,0,68,19,3,71,13,14,17,10,51,36,12,32,36,71,15,53,19,1,2,0,29,12,14,115,0,28
Total,8620,17320,10044,1100,14341,16072,903,11416,2337,11015,5322,9466,5131,6165,2413,14249,12913,12700,12950,2910,29097,5694,10850,5274,39304,14752,4044,25207,8513,4499,7545,13832,19022,9824,8913,13759,21962,40221,6672,20686,6722,6709,11409,2330,29398,9616,11188,15141,3004,17056
