,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-1969,0.028,0.007,0.04,0.002,0.048,0.036,0.066,0.005,0.029,0.002,0.064,0.025,0.004,0.013,0.008,0.012,0.036,0.005,0.015,0.015,0.004,0.014,0.033,0.022,0.037,0.017,0.012,0.016,0.02,0.03,0.016,0.011,0.028,0.011,0.049,0.003,0.031,0.008,0.036,0.013,0.018,0.006,0.01,0.003,0.034,0.022,0.025,0.002,0.008,0.002
1970-1979,0.032,0.009,0.028,0.002,0.035,0.022,0.057,0.006,0.02,0.006,0.053,0.01,0.009,0.009,0.008,0.016,0.027,0.007,0.026,0.014,0.013,0.021,0.023,0.026,0.053,0.011,0.024,0.007,0.016,0.039,0.017,0.015,0.021,0.016,0.048,0.014,0.014,0.012,0.035,0.016,0.029,0.018,0.004,0.015,0.03,0.019,0.031,0.005,0.006,0.004
1980-1989,0.03,0.009,0.031,0.001,0.027,0.021,0.056,0.009,0.01,0.005,0.053,0.031,0.009,0.01,0.005,0.015,0.018,0.014,0.033,0.006,0.018,0.021,0.02,0.027,0.051,0.009,0.032,0.014,0.017,0.031,0.016,0.02,0.012,0.021,0.051,0.016,0.013,0.016,0.027,0.009,0.033,0.013,0.003,0.018,0.015,0.034,0.031,0.007,0.007,0.002
1990-1999,0.024,0.013,0.033,0.001,0.033,0.015,0.064,0.009,0.007,0.004,0.041,0.014,0.006,0.013,0.002,0.015,0.014,0.018,0.057,0.007,0.018,0.025,0.021,0.025,0.048,0.012,0.027,0.016,0.014,0.036,0.01,0.025,0.015,0.033,0.05,0.015,0.009,0.023,0.011,0.01,0.036,0.027,0.003,0.021,0.006,0.033,0.028,0.005,0.006,0.002
2000-2009,0.015,0.03,0.022,0.001,0.021,0.011,0.069,0.015,0.007,0.002,0.031,0.016,0.005,0.01,0.002,0.012,0.011,0.023,0.083,0.008,0.026,0.021,0.013,0.024,0.051,0.007,0.031,0.013,0.016,0.037,0.008,0.021,0.007,0.062,0.045,0.012,0.011,0.027,0.009,0.006,0.037,0.003,0.003,0.042,0.008,0.022,0.029,0.006,0.005,0.001
2010-2019,0.011,0.031,0.017,0.001,0.015,0.01,0.072,0.017,0.004,0.002,0.032,0.008,0.005,0.012,0.003,0.015,0.009,0.022,0.106,0.005,0.037,0.021,0.012,0.022,0.04,0.008,0.028,0.013,0.01,0.032,0.009,0.014,0.009,0.067,0.04,0.01,0.007,0.037,0.007,0.005,0.04,0.003,0.004,0.056,0.006,0.029,0.026,0.007,0.004,0.002
2020-2029,0.0,0.045,0.019,0.0,0.003,0.0,0.103,0.042,0.003,0.0,0.045,0.005,0.0,0.0,0.0,0.037,0.0,0.019,0.116,0.0,0.058,0.019,0.0,0.0,0.029,0.0,0.029,0.019,0.05,0.045,0.0,0.0,0.021,0.069,0.026,0.0,0.032,0.0,0.011,0.0,0.019,0.0,0.0,0.087,0.0,0.026,0.021,0.0,0.0,0.003
Total,0.02,0.021,0.027,0.001,0.026,0.017,0.07,0.015,0.011,0.003,0.045,0.016,0.005,0.01,0.004,0.018,0.017,0.015,0.063,0.008,0.025,0.02,0.017,0.021,0.044,0.009,0.026,0.014,0.021,0.035,0.011,0.015,0.016,0.04,0.044,0.01,0.017,0.017,0.019,0.008,0.03,0.01,0.004,0.035,0.014,0.027,0.027,0.004,0.005,0.002
