,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.025,0.0,0.025,0.0,0.0,0.025,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.025,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930-1939,0.0,0.0,0.0,0.0,0.048,0.095,0.0,0.0,0.095,0.048,0.0,0.024,0.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.048,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940-1949,0.075,0.0,0.0,0.0,0.033,0.025,0.058,0.008,0.008,0.025,0.017,0.008,0.0,0.0,0.0,0.0,0.225,0.008,0.008,0.0,0.0,0.017,0.025,0.008,0.025,0.058,0.017,0.0,0.033,0.025,0.108,0.008,0.0,0.0,0.008,0.042,0.042,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.008,0.025,0.0,0.0,0.0
1950-1959,0.0,0.006,0.0,0.003,0.073,0.085,0.009,0.0,0.028,0.025,0.0,0.016,0.003,0.0,0.013,0.016,0.202,0.003,0.009,0.003,0.0,0.0,0.032,0.0,0.019,0.069,0.003,0.0,0.0,0.0,0.136,0.0,0.038,0.006,0.028,0.013,0.044,0.0,0.009,0.009,0.006,0.0,0.063,0.0,0.006,0.013,0.006,0.003,0.0,0.0
1960-1969,0.023,0.004,0.022,0.001,0.034,0.038,0.022,0.005,0.028,0.019,0.027,0.041,0.009,0.004,0.009,0.006,0.116,0.01,0.014,0.009,0.005,0.013,0.024,0.015,0.034,0.029,0.019,0.015,0.014,0.017,0.091,0.006,0.02,0.01,0.037,0.017,0.033,0.008,0.039,0.014,0.006,0.013,0.02,0.006,0.015,0.015,0.014,0.003,0.004,0.003
1970-1979,0.033,0.009,0.026,0.0,0.016,0.021,0.053,0.02,0.014,0.006,0.054,0.035,0.005,0.007,0.006,0.001,0.038,0.016,0.037,0.01,0.023,0.012,0.019,0.026,0.045,0.02,0.029,0.022,0.026,0.024,0.022,0.022,0.025,0.021,0.018,0.011,0.015,0.014,0.045,0.012,0.028,0.026,0.007,0.012,0.019,0.017,0.02,0.006,0.002,0.002
1980-1989,0.026,0.016,0.026,0.001,0.007,0.031,0.052,0.021,0.007,0.009,0.052,0.034,0.003,0.01,0.002,0.001,0.022,0.022,0.066,0.011,0.034,0.012,0.017,0.028,0.05,0.017,0.03,0.023,0.031,0.022,0.014,0.032,0.007,0.024,0.017,0.009,0.012,0.02,0.02,0.005,0.032,0.024,0.004,0.024,0.014,0.02,0.031,0.004,0.006,0.001
1990-1999,0.02,0.021,0.026,0.0,0.008,0.011,0.064,0.019,0.005,0.001,0.04,0.03,0.002,0.008,0.001,0.001,0.013,0.024,0.087,0.005,0.029,0.012,0.013,0.024,0.04,0.011,0.036,0.033,0.021,0.025,0.006,0.031,0.013,0.056,0.008,0.01,0.009,0.033,0.011,0.006,0.031,0.035,0.003,0.041,0.014,0.029,0.028,0.003,0.004,0.001
2000-2009,0.014,0.043,0.019,0.0,0.004,0.006,0.072,0.032,0.005,0.001,0.03,0.018,0.001,0.009,0.001,0.001,0.01,0.03,0.128,0.005,0.05,0.013,0.008,0.023,0.035,0.005,0.036,0.024,0.019,0.027,0.003,0.025,0.008,0.076,0.005,0.006,0.005,0.041,0.008,0.003,0.037,0.01,0.003,0.044,0.01,0.015,0.027,0.003,0.003,0.0
2010-2019,0.012,0.054,0.019,0.0,0.002,0.01,0.057,0.028,0.003,0.002,0.028,0.011,0.0,0.011,0.001,0.001,0.005,0.042,0.149,0.003,0.043,0.012,0.01,0.022,0.038,0.013,0.03,0.019,0.015,0.025,0.006,0.022,0.004,0.095,0.002,0.006,0.003,0.046,0.004,0.002,0.034,0.006,0.004,0.049,0.012,0.017,0.026,0.0,0.001,0.0
2020-2029,0.036,0.0,0.036,0.0,0.0,0.036,0.107,0.107,0.0,0.0,0.036,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.036,0.0,0.036,0.0,0.0,0.0,0.036,0.0,0.0,0.036,0.0,0.071,0.0,0.0,0.0,0.143,0.036,0.0,0.0,0.0,0.036,0.0,0.036,0.0,0.0,0.107,0.0,0.036,0.0,0.0,0.0,0.0
Total,0.022,0.014,0.016,0.0,0.02,0.033,0.045,0.022,0.025,0.015,0.026,0.022,0.002,0.008,0.005,0.002,0.101,0.014,0.049,0.004,0.02,0.008,0.013,0.013,0.029,0.022,0.018,0.016,0.014,0.021,0.049,0.013,0.01,0.039,0.021,0.01,0.019,0.015,0.016,0.005,0.019,0.01,0.083,0.026,0.008,0.015,0.016,0.002,0.002,0.001
