,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.2,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.075,0.025,0.475,0.0,0.0,0.0,0.025,0.0,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0
1930-1939,0.286,0.0,0.024,0.0,0.095,0.024,0.0,0.0,0.0,0.095,0.024,0.286,0.0,0.0,0.0,0.024,0.0,0.048,0.0,0.0,0.048,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940-1949,0.225,0.008,0.058,0.058,0.025,0.108,0.025,0.0,0.017,0.008,0.042,0.05,0.017,0.0,0.0,0.008,0.025,0.008,0.0,0.025,0.033,0.008,0.025,0.008,0.0,0.008,0.0,0.0,0.008,0.0,0.075,0.025,0.033,0.0,0.0,0.0,0.0,0.042,0.008,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950-1959,0.202,0.009,0.069,0.009,0.085,0.136,0.019,0.006,0.0,0.028,0.044,0.063,0.003,0.006,0.0,0.016,0.006,0.028,0.0,0.0,0.073,0.003,0.025,0.0,0.0,0.0,0.006,0.0,0.013,0.038,0.0,0.032,0.0,0.0,0.006,0.0,0.009,0.013,0.0,0.0,0.009,0.0,0.003,0.003,0.003,0.016,0.0,0.013,0.0,0.003
1960-1969,0.116,0.014,0.029,0.022,0.038,0.091,0.034,0.01,0.027,0.028,0.033,0.02,0.019,0.006,0.006,0.041,0.014,0.037,0.008,0.017,0.034,0.01,0.019,0.006,0.005,0.015,0.004,0.022,0.015,0.02,0.023,0.024,0.014,0.015,0.015,0.013,0.039,0.017,0.005,0.013,0.014,0.004,0.009,0.003,0.009,0.006,0.003,0.009,0.004,0.001
1970-1979,0.038,0.037,0.02,0.053,0.021,0.022,0.045,0.021,0.054,0.014,0.015,0.007,0.029,0.028,0.012,0.035,0.02,0.018,0.014,0.024,0.016,0.016,0.006,0.022,0.023,0.026,0.009,0.026,0.017,0.025,0.033,0.019,0.026,0.022,0.019,0.026,0.045,0.011,0.02,0.012,0.012,0.007,0.01,0.006,0.005,0.001,0.002,0.006,0.002,0.0
1980-1989,0.022,0.066,0.017,0.052,0.031,0.014,0.05,0.024,0.052,0.007,0.012,0.004,0.03,0.032,0.024,0.034,0.031,0.017,0.02,0.022,0.007,0.022,0.009,0.032,0.034,0.028,0.016,0.026,0.02,0.007,0.026,0.017,0.031,0.023,0.014,0.024,0.02,0.009,0.021,0.012,0.005,0.01,0.011,0.004,0.003,0.001,0.001,0.002,0.006,0.001
1990-1999,0.013,0.087,0.011,0.064,0.011,0.006,0.04,0.056,0.04,0.005,0.009,0.003,0.036,0.031,0.041,0.03,0.028,0.008,0.033,0.025,0.008,0.024,0.001,0.031,0.029,0.024,0.021,0.026,0.029,0.013,0.02,0.013,0.021,0.033,0.014,0.035,0.011,0.01,0.019,0.012,0.006,0.008,0.005,0.003,0.002,0.001,0.001,0.001,0.004,0.0
2000-2009,0.01,0.128,0.005,0.072,0.006,0.003,0.035,0.076,0.03,0.005,0.005,0.003,0.036,0.037,0.044,0.018,0.027,0.005,0.041,0.027,0.004,0.03,0.001,0.025,0.05,0.023,0.043,0.019,0.015,0.008,0.014,0.008,0.019,0.024,0.01,0.01,0.008,0.006,0.032,0.013,0.003,0.009,0.005,0.003,0.001,0.001,0.0,0.001,0.003,0.0
2010-2019,0.005,0.149,0.013,0.057,0.01,0.006,0.038,0.095,0.028,0.003,0.003,0.004,0.03,0.034,0.049,0.011,0.026,0.002,0.046,0.025,0.002,0.042,0.002,0.022,0.043,0.022,0.054,0.019,0.017,0.004,0.012,0.01,0.015,0.019,0.012,0.006,0.004,0.006,0.028,0.012,0.002,0.011,0.003,0.0,0.0,0.001,0.0,0.001,0.001,0.0
2020-2029,0.0,0.036,0.0,0.107,0.036,0.0,0.036,0.143,0.036,0.0,0.0,0.0,0.0,0.036,0.107,0.0,0.0,0.036,0.0,0.071,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.036,0.036,0.0,0.036,0.0,0.0,0.036,0.0,0.0,0.036,0.0,0.107,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.027,0.093,0.014,0.058,0.017,0.016,0.039,0.055,0.037,0.008,0.01,0.008,0.032,0.031,0.035,0.025,0.026,0.011,0.031,0.024,0.01,0.026,0.005,0.025,0.035,0.023,0.029,0.022,0.019,0.011,0.02,0.013,0.021,0.024,0.013,0.019,0.015,0.009,0.023,0.012,0.005,0.009,0.006,0.003,0.002,0.001,0.001,0.002,0.003,0.0
