,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930-1939,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167,0.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940-1949,0.179,0.026,0.0,0.026,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.051,0.0,0.0,0.077,0.077,0.026,0.0,0.026,0.0,0.026,0.0,0.026,0.051,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.051,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.026,0.0
1950-1959,0.103,0.029,0.0,0.015,0.0,0.0,0.059,0.029,0.015,0.044,0.0,0.0,0.059,0.0,0.0,0.0,0.029,0.044,0.015,0.0,0.029,0.0,0.0,0.0,0.0,0.029,0.015,0.044,0.118,0.0,0.0,0.029,0.044,0.0,0.074,0.044,0.029,0.074,0.0,0.015,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-1969,0.026,0.023,0.0,0.065,0.0,0.0,0.07,0.021,0.063,0.008,0.0,0.0,0.037,0.008,0.003,0.023,0.026,0.01,0.013,0.008,0.021,0.021,0.0,0.018,0.018,0.034,0.01,0.023,0.037,0.005,0.021,0.013,0.031,0.034,0.044,0.034,0.057,0.037,0.026,0.037,0.005,0.01,0.018,0.023,0.003,0.0,0.0,0.005,0.003,0.005
1970-1979,0.009,0.044,0.0,0.062,0.0,0.0,0.066,0.03,0.086,0.001,0.0,0.0,0.044,0.038,0.016,0.017,0.041,0.001,0.026,0.029,0.004,0.017,0.0,0.014,0.014,0.037,0.019,0.034,0.027,0.003,0.04,0.014,0.037,0.024,0.039,0.029,0.04,0.012,0.023,0.021,0.003,0.009,0.013,0.005,0.001,0.0,0.0,0.003,0.005,0.0
1980-1989,0.002,0.06,0.0,0.067,0.0,0.0,0.051,0.04,0.07,0.0,0.0,0.0,0.031,0.04,0.023,0.023,0.039,0.002,0.024,0.037,0.005,0.031,0.0,0.044,0.029,0.036,0.021,0.034,0.022,0.007,0.034,0.013,0.026,0.016,0.036,0.032,0.022,0.009,0.011,0.017,0.007,0.02,0.009,0.004,0.002,0.0,0.0,0.001,0.003,0.0
1990-1999,0.004,0.081,0.0,0.067,0.0,0.0,0.046,0.067,0.043,0.0,0.0,0.0,0.048,0.043,0.041,0.016,0.025,0.001,0.036,0.023,0.002,0.023,0.0,0.035,0.025,0.035,0.03,0.043,0.022,0.011,0.022,0.021,0.029,0.021,0.025,0.036,0.011,0.007,0.014,0.019,0.0,0.007,0.009,0.005,0.001,0.0,0.0,0.0,0.004,0.0
2000-2009,0.0,0.135,0.0,0.072,0.0,0.0,0.045,0.082,0.046,0.0,0.0,0.0,0.045,0.031,0.043,0.013,0.018,0.0,0.029,0.031,0.0,0.022,0.0,0.042,0.048,0.025,0.039,0.018,0.021,0.005,0.013,0.009,0.014,0.037,0.01,0.016,0.007,0.008,0.039,0.013,0.0,0.012,0.003,0.003,0.0,0.0,0.0,0.0,0.005,0.0
2010-2019,0.0,0.158,0.0,0.033,0.0,0.0,0.031,0.068,0.037,0.0,0.0,0.0,0.035,0.029,0.079,0.01,0.033,0.0,0.048,0.031,0.0,0.098,0.0,0.019,0.025,0.042,0.029,0.015,0.021,0.004,0.017,0.008,0.017,0.014,0.015,0.004,0.006,0.004,0.015,0.019,0.0,0.023,0.008,0.002,0.0,0.0,0.0,0.0,0.002,0.0
2020-2029,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.008,0.079,0.0,0.062,0.0,0.0,0.052,0.05,0.059,0.001,0.0,0.0,0.04,0.034,0.032,0.017,0.032,0.002,0.029,0.029,0.005,0.031,0.0,0.03,0.026,0.035,0.025,0.031,0.026,0.006,0.027,0.014,0.027,0.023,0.029,0.027,0.022,0.013,0.02,0.019,0.003,0.013,0.009,0.006,0.001,0.0,0.0,0.001,0.004,0.0
